Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Wed Apr  5 14:15:32 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV2031         0.0624 %
TV2033         0.4356 %
TV2065         0.1182 %
TV2254         0.0821 %
TV2265         0.1352 %
TV2282         0.1285 %
TV2285         0.0570 %
TV2288         0.1145 %
TV2502         0.4294 %
TV2506         0.0571 %
TV2530         0.2811 %
TV2755         0.8316 %
TV2757         0.0767 %
TV2780         0.1869 %
TV2782         0.0745 %
TV2784         0.0748 %
TV2788         0.5249 %
TV2789         0.0650 %
TV2795         0.2559 %
TV3008         0.2561 %
TV3012         0.0691 %
TV3017         0.1085 %
TV3025         0.1138 %
TV3037         0.1102 %
TV3046         0.0583 %
TV3050         0.5417 %
TV3055         0.4624 %
TV3208         0.6088 %
TV3210         0.1350 %
TV3221         0.2838 %
TV3224         0.0906 %
TV3228         0.2833 %
TV3234         0.5058 %
TV3238         0.0955 %
TV4256         0.1927 %
TV4261         0.5916 %
TV4269         0.0584 %
TV4272         0.3696 %
TV4280         0.1607 %
TV4288         0.8095 %
TV4295         0.0802 %
TV4296         0.0625 %
TV4298         0.2429 %
TV4306         0.2021 %
TV4308         0.4533 %
TV4309         0.0626 %
TV4508         0.1057 %
TV4511         0.1521 %
TV4519         0.3702 %
TV4522         0.4798 %
TV4526         0.1485 %
TV4528         0.5247 %
TV4529         0.1074 %
TV4530         0.4042 %
TV4536         0.6007 %
TV4537         0.0704 %
TV4544         0.0676 %
TV4556         0.3366 %
TV4753         0.7132 %
TV4792         0.0936 %
TV4796         0.2753 %
TV4811         0.0510 %
TV4839         0.7083 %
TV5029         0.6749 %
TV5032         0.3579 %
TV5045         0.8007 %
TV5046         0.0724 %
TV5054         0.1306 %
TV5059         0.4927 %
TV5064         0.5123 %
TV5065         0.3520 %
TV5071         0.3838 %
TV5075         0.5270 %
TV5088         0.2689 %
TV5119         0.3041 %
TV5139         0.1170 %
TV5146         0.1404 %
TV5165         0.1044 %
TV5194         0.0875 %
TV5197         0.0711 %
TV5207         0.0729 %
TV5217         0.0983 %
TV5218         0.6557 %
TV5220         0.1202 %
TV5227         0.1853 %
TV5228         0.1143 %
TV5281         0.0662 %
TV5299         0.1042 %
TV5304         0.3011 %

TOTAL: 89

*** Locus 2 ***

TV2031         0.6015 %
TV2053         0.2253 %
TV2064         0.4436 %
TV2065         0.3296 %
TV3029         0.1106 %
TV3208         0.6396 %
TV3216         0.1131 %
TV3231         0.1276 %
TV4253         0.1523 %
TV4254         0.7289 %
TV4258         0.3156 %
TV4274         0.1747 %
TV4275         0.2478 %
TV4280         0.1317 %
TV4283         0.0674 %
TV4286         0.4707 %
TV4287         0.5351 %
TV4291         0.4913 %
TV4300         0.0617 %
TV4301         0.0964 %
TV4304         0.2549 %
TV4503         0.2016 %
TV4508         0.1197 %
TV4525         0.5109 %
TV4532         0.1779 %
TV4537         0.0704 %
TV4546         0.7234 %
TV4547         0.2775 %
TV4571         0.0731 %
TV4754         0.9807 %
TV4771         0.5570 %
TV4774         0.1378 %
TV4796         0.2831 %
TV4808         0.0640 %
TV4818         0.0508 %
TV4835         0.6102 %
TV4839         0.6981 %
TV5031         0.2223 %
TV5056         0.5178 %
TV5063         0.3866 %
TV5138         0.7476 %
TV5223         0.1063 %
TV5228         0.2878 %
TV5239         0.1772 %
TV5249         0.4452 %
TV5304         0.1377 %

TOTAL: 46

*** Locus 3 ***

TV2041         0.4070 %
TV2078         0.0696 %
TV2090         0.0661 %
TV2288         0.1741 %
TV2501         0.1525 %
TV2504         0.3606 %
TV2773         0.3158 %
TV3001         0.1837 %
TV3011         0.1541 %
TV3017         0.6544 %
TV3019         0.2588 %
TV3020         0.2641 %
TV3021         0.3057 %
TV3051         0.0720 %
TV3055         0.0546 %
TV3056         0.9003 %
TV3204         0.0865 %
TV3211         0.4668 %
TV3212         0.3580 %
TV3213         0.5639 %
TV3228         0.2977 %
TV4253         0.1574 %
TV4255         0.4356 %
TV4259         0.7491 %
TV4268         0.0547 %
TV4272         0.4443 %
TV4277         0.1720 %
TV4284         0.0515 %
TV4286         0.3488 %
TV4300         0.1199 %
TV4301         0.5080 %
TV4302         0.3657 %
TV4305         0.3887 %
TV4307         0.0556 %
TV4308         0.1582 %
TV4316         0.9795 %
TV4319         0.1025 %
TV4501         0.0557 %
TV4505         0.2573 %
TV4507         0.0874 %
TV4513         0.3102 %
TV4514         0.6004 %
TV4516         0.5283 %
TV4517         0.2087 %
TV4519         0.2401 %
TV4522         0.4783 %
TV4524         0.8131 %
TV4546         0.1049 %
TV4550         0.5638 %
TV4552         0.2274 %
TV4556         0.1502 %
TV4558         0.5847 %
TV4566         0.4356 %
TV4568         0.0619 %
TV4754         0.9931 %
TV4755         0.6423 %
TV4762         0.1341 %
TV4767         0.0729 %
TV4772         0.4013 %
TV4773         0.3061 %
TV4776         0.1076 %
TV4778         0.1579 %
TV4798         0.6035 %
TV4818         0.1925 %
TV4827         0.5409 %
TV4828         0.2428 %
TV4830         0.2337 %
TV4831         0.0598 %
TV4836         0.0644 %
TV5020         0.0555 %
TV5024         0.0741 %
TV5054         0.0889 %
TV5081         0.8605 %
TV5124         0.1037 %
TV5125         0.5000 %
TV5132         0.6382 %
TV5140         0.1218 %
TV5143         0.5530 %
TV5168         0.4174 %
TV5169         0.3027 %
TV5187         0.0658 %
TV5232         0.0652 %
TV5241         0.3796 %
TV5242         0.1561 %
TV5247         0.6924 %
TV5252         0.6847 %
TV5254         0.3066 %
TV5257         0.4160 %
TV5274         0.3894 %
TV5280         0.3393 %
TV5288         0.3380 %
TV5303         0.6739 %
TV5304         0.2593 %
TV5305         0.1307 %

TOTAL: 94

*** Locus 4 ***

TV2031         0.2426 %
