Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV1003,10,,,,,0.000000E+00,0.9727,10,0,338,338,,,<
TV2003,10,,,,,0.000000E+00,0.6937,10,0,338,338,,,<
TV2004,10,TV5080,9,,,7.889235E+00,0.4784,10,0,338,338,7.889235E+00,
TV2005,10,TV2004,10,,,8.540957E+00,0.7694,10,1,338,338,8.540957E+00,,<
TV2017,10,,,,,0.000000E+00,0.9603,10,0,338,338,,,<
TV2026,9,,,,,0.000000E+00,0.5422,9,0,332,332,,,<
TV2030,9,,,,,0.000000E+00,0.9954,9,0,330,330,,,<
TV2031,10,TV2053,10,,,6.743614E+00,0.3535,10,1,338,338,6.743614E+00,,<
TV2032,8,,,,,0.000000E+00,0.7668,8,0,329,329,,,<
TV2033,9,,,,,0.000000E+00,0.2650,9,0,330,330,,
TV2034,8,,,,,0.000000E+00,0.9928,9,0,316,316,,,<
TV2041,10,,,,,0.000000E+00,0.4873,10,0,338,338,,
TV2048,10,,,,,0.000000E+00,0.9876,10,0,338,338,,,<
TV2053,10,,,,,0.000000E+00,0.4374,10,0,338,338,,
TV2055,9,,,,,0.000000E+00,0.5915,10,0,331,331,,,<
TV2060,10,,,,,0.000000E+00,0.9927,10,0,338,338,,,<
TV2062,10,,,,,0.000000E+00,0.5737,10,0,338,338,,
TV2064,10,,,,,0.000000E+00,0.5540,10,0,338,338,,
TV2065,10,,,,,0.000000E+00,0.4987,10,0,338,338,,,<
TV2066,9,,,,,0.000000E+00,0.9970,9,0,330,330,,,<
TV2068,6,,,,,0.000000E+00,0.9551,6,0,240,240,,,<
TV2069,9,,,,,0.000000E+00,0.9929,9,0,332,332,,,<
TV2071,10,,,,,0.000000E+00,0.9890,10,0,338,338,,,<
TV2078,10,,,,,0.000000E+00,0.9304,10,0,338,338,,,<
TV2080,9,,,,,0.000000E+00,0.6735,9,0,330,330,,,<
TV2086,7,,,,,0.000000E+00,1.0000,9,0,313,313,,,<
TV2090,10,,,,,0.000000E+00,0.9338,10,0,338,338,,,<
