Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Thu May  4 18:26:41 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV2033         0.1601 %
TV2502         0.1602 %
TV2755         0.0787 %
TV2788         0.0712 %
TV3008         0.2115 %
TV3017         0.1888 %
TV3050         0.5411 %
TV3055         0.4894 %
TV3228         0.2616 %
TV3234         0.5061 %
TV4256         0.1146 %
TV4261         0.3674 %
TV4272         0.5305 %
TV4288         0.0553 %
TV4308         0.4077 %
TV4519         0.1325 %
TV4528         0.4040 %
TV4530         0.1290 %
TV4536         0.2339 %
TV4753         0.6388 %
TV4796         0.0512 %
TV4811         0.0545 %
TV5029         0.1127 %
TV5032         0.2292 %
TV5045         0.3234 %
TV5059         0.4892 %
TV5064         0.0614 %
TV5065         0.0930 %
TV5071         0.0888 %
TV5075         0.3237 %
TV5119         0.0652 %
TV5139         0.0573 %
TV5218         0.4883 %
TV5227         0.0719 %
TV5304         0.2515 %

TOTAL: 35

*** Locus 2 ***

TV2031         0.1300 %
TV2053         0.1137 %
TV2064         0.1135 %
TV2065         0.1112 %
TV4254         0.5250 %
TV4286         0.6202 %
TV4287         0.3717 %
TV4291         0.2274 %
TV4304         0.1182 %
TV4525         0.0801 %
TV4546         0.7416 %
TV4547         0.1337 %
TV4754         0.7324 %
TV4771         0.1187 %
TV4774         0.0808 %
TV4796         0.1885 %
TV4835         0.2714 %
TV5056         0.2257 %
TV5063         0.2226 %
TV5138         0.4975 %

TOTAL: 20

*** Locus 3 ***

TV2041         0.1002 %
TV2773         0.1039 %
TV3001         0.0883 %
TV3017         0.3456 %
TV3056         0.5619 %
TV3211         0.4633 %
TV3212         0.0964 %
TV3213         0.4657 %
TV3228         0.1607 %
TV4255         0.3635 %
TV4259         0.3459 %
TV4272         0.0928 %
TV4286         0.0960 %
TV4301         0.1967 %
TV4302         0.0731 %
TV4305         0.1838 %
TV4316         0.8977 %
TV4513         0.1695 %
TV4514         0.2254 %
TV4516         0.1334 %
TV4517         0.0548 %
TV4524         0.0589 %
TV4550         0.0777 %
TV4552         0.0675 %
TV4558         0.5553 %
TV4566         0.1284 %
TV4754         0.8271 %
TV4755         0.4116 %
TV4772         0.0732 %
TV4773         0.0550 %
TV4798         0.2683 %
TV4827         0.1038 %
TV5081         0.4383 %
TV5125         0.1576 %
TV5132         0.2039 %
TV5143         0.1984 %
TV5168         0.1779 %
TV5169         0.1607 %
TV5247         0.1754 %
TV5252         0.4996 %
TV5254         0.4477 %
TV5257         0.4594 %
TV5274         0.0973 %
TV5280         0.1661 %
TV5303         0.0715 %

TOTAL: 45

*** Locus 4 ***

TV2290         0.0959 %
TV2299         0.0982 %
TV3056         0.5443 %
TV3201         0.2260 %
TV3227         0.0665 %
TV3228         0.1607 %
TV3243         0.0676 %
TV4251         0.2859 %
TV4255         0.3341 %
TV4267         0.2906 %
TV4282         0.2249 %
TV4319         0.1247 %
TV4553         0.3307 %
TV4554         0.3431 %
TV4558         0.1568 %
TV4755         0.3514 %
TV4757         0.3628 %
TV4758         0.4539 %
TV4796         0.2402 %
TV4813         0.3306 %
TV4817         0.1100 %
TV4835         0.2714 %
TV5019         0.2535 %
TV5024         0.2371 %
TV5113         0.3449 %
TV5119         0.0652 %
TV5201         0.3729 %
TV5216         0.2359 %
TV5217         0.0991 %
TV5227         0.1070 %
TV5228         0.1140 %
TV5244         0.1216 %
TV5251         0.0890 %
TV5308         0.2365 %

TOTAL: 34

*** Locus 5 ***

TV2033         0.1625 %
TV3010         0.1037 %
TV3011         0.1818 %
TV3031         0.1406 %
TV3041         0.1173 %
TV3202         0.4428 %
TV3209         0.2358 %
TV3218         0.1753 %
TV3231         0.1860 %
TV4287         0.1296 %
TV4291         0.0557 %
TV4299         0.3934 %
TV4312         0.4875 %
TV4506         0.0563 %
TV4517         0.4599 %
TV4545         0.5185 %
TV4547         0.3896 %
TV5002         0.1230 %
TV5023         0.0563 %
TV5025         0.0532 %
TV5026         0.0539 %
TV5037         0.2818 %
TV5112         0.0961 %
TV5124         0.4672 %
TV5168         0.0619 %
TV5169         0.1298 %
TV5177         0.2159 %
TV5241         0.4266 %
TV5257         0.0738 %
TV5268         0.3008 %
TV5280         0.1384 %

TOTAL: 31

*** Locus 6 ***

TV2004         0.2513 %
TV2005         0.3891 %
TV2527         0.0777 %
TV2788         0.0711 %
TV4314         0.1331 %
TV4315         0.0905 %
TV4318         0.1089 %
TV4509         0.1368 %
TV4536         0.2339 %
TV4553         0.3307 %
TV4554         0.3429 %
TV5028         0.2928 %
TV5029         0.2758 %
TV5032         0.0792 %
TV5235         0.6846 %
TV5249         0.4782 %
TV5251         0.1711 %
TV5257         0.3068 %
TV5304         0.2517 %

TOTAL: 19

*** Locus 7 ***

TV3215         0.1368 %
TV3216         0.1415 %
TV4516         0.1272 %
TV4517         0.0548 %
TV5025         0.0531 %
TV5026         0.0559 %
TV5172         0.2211 %
TV5175         0.1255 %
TV5251         0.0898 %
TV5257         0.0978 %
TV5262         0.1848 %
TV5306         0.4623 %

TOTAL: 12

*** Locus 8 ***

TV3010         0.3307 %
TV3017         0.1307 %
TV4267         0.0984 %
TV4288         0.0741 %
TV4316         0.9667 %
TV4524         0.0625 %
TV4533         0.0581 %
TV5249         0.5192 %
TV5251         0.2574 %
TV5274         0.0973 %
TV5280         0.1665 %

TOTAL: 11

*** Locus 9 ***

TV2053         0.1045 %
TV2055         0.1462 %
TV2062         0.1387 %
TV2285         0.0649 %
TV2302         0.0714 %
TV2774         0.0797 %
TV2788         0.0975 %
TV2810         0.1123 %
TV3011         0.1457 %
TV3022         0.0647 %
TV3212         0.2349 %
TV3228         0.2988 %
TV3231         0.1342 %
TV4261         0.1246 %
TV4265         0.1928 %
TV4278         0.5870 %
TV4284         0.6070 %
TV4287         0.2222 %
TV4302         0.0905 %
TV4502         0.1927 %
TV4546         0.1054 %
TV4752         0.6890 %
TV4757         0.2165 %
TV4760         0.0940 %
TV4769         0.7011 %
TV4774         0.2434 %
TV4779         0.1181 %
TV4795         0.0632 %
TV4797         0.1797 %
TV4802         0.1588 %
TV5205         0.0638 %
TV5217         0.1677 %
TV5220         0.1805 %
TV5236         0.0927 %
TV5248         0.1853 %
TV5251         0.4069 %
TV5255         0.5883 %
TV5277         0.0635 %
TV5311         0.1831 %

TOTAL: 39

*** Locus 10 ***

TV3034         0.0715 %
TV3222         0.3329 %
TV3223         0.3587 %
TV4251         0.2859 %
TV4252         0.2033 %
TV4272         0.1127 %
TV4288         0.0503 %
TV4292         0.1659 %
TV4314         0.1331 %
TV4509         0.1368 %
TV4536         0.0526 %
TV4550         0.0777 %
TV4552         0.0675 %
TV4791         0.3740 %
TV4823         0.7543 %
TV5117         0.2530 %
TV5119         0.2417 %
TV5120         0.3642 %
TV5227         0.1964 %
TV5251         0.1026 %
TV5269         0.0566 %
TV5310         0.3874 %

TOTAL: 22

