Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Thu May  4 18:49:23 2023


*** MCMC Parameters ***

Seed                         : 1683251359
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 13838
  Initial temperature c0     : 65.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 500000
Iterations                   : 3000000
Sample frequency             : 10
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 500
  Nmmax                      : 500

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |          1 |          0 |  -1623.083 |  -1774.818 |   56.297 |   65.000 |  0.63 |   3.760 |   3.760 |      0 |
 |          2 |      41514 |  -1623.083 |  -1758.539 |   41.645 |   62.700 |  0.63 |   1.361 |   1.361 |      0 |
 |          3 |      83027 |  -1623.083 |  -1748.442 |   42.259 |   59.838 |  0.63 |   1.962 |   1.962 |      0 |
 |          4 |     124540 |  -1575.373 |  -1743.539 |   43.303 |   57.262 |  0.64 |   2.179 |   2.179 |      0 |
 |          5 |     166053 |  -1575.373 |  -1766.586 |   47.971 |   54.953 |  0.63 |   2.707 |   2.707 |      0 |
 |          6 |     207566 |  -1575.373 |  -1729.442 |   50.952 |   53.024 |  0.64 |   2.804 |   2.804 |      0 |
 |          7 |     249079 |  -1575.373 |  -1757.070 |   54.586 |   51.327 |  0.64 |   2.602 |   2.602 |      0 |
 |          8 |     290592 |  -1575.373 |  -1738.714 |   53.612 |   49.838 |  0.64 |   2.099 |   2.099 |      0 |
 |          9 |     332105 |  -1575.373 |  -1752.623 |   55.808 |   48.408 |  0.63 |   1.545 |   1.545 |      0 |
