Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Thu May  4 18:51:52 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV2031         0.0836 %
TV2033         0.4776 %
TV2053         0.0948 %
TV2065         0.1672 %
TV2254         0.1518 %
TV2257         0.1041 %
TV2265         0.2433 %
TV2280         0.0636 %
TV2282         0.1852 %
TV2285         0.1134 %
TV2288         0.1692 %
TV2293         0.0874 %
TV2502         0.4634 %
TV2506         0.0818 %
TV2529         0.0511 %
TV2530         0.4787 %
TV2755         0.9398 %
TV2757         0.1268 %
TV2780         0.2022 %
TV2781         0.0508 %
TV2782         0.0711 %
TV2784         0.0709 %
TV2788         0.6468 %
TV2789         0.1610 %
TV2795         0.3760 %
TV3003         0.0501 %
TV3008         0.2240 %
TV3012         0.1592 %
TV3013         0.0963 %
TV3017         0.0804 %
TV3025         0.3266 %
TV3026         0.0633 %
TV3037         0.2117 %
TV3046         0.0966 %
TV3050         0.5536 %
TV3055         0.4740 %
TV3208         0.8210 %
TV3210         0.2234 %
TV3218         0.0668 %
TV3221         0.4129 %
TV3224         0.1711 %
TV3228         0.2849 %
TV3231         0.0715 %
TV3234         0.5533 %
TV3238         0.1670 %
TV4256         0.1399 %
TV4261         0.5652 %
TV4269         0.1065 %
TV4272         0.3500 %
TV4273         0.0709 %
TV4274         0.0945 %
TV4280         0.3870 %
TV4286         0.0617 %
TV4288         0.9265 %
TV4295         0.1206 %
TV4296         0.1568 %
TV4298         0.3747 %
TV4306         0.3382 %
TV4308         0.4549 %
TV4309         0.0958 %
TV4508         0.1796 %
TV4511         0.2553 %
TV4512         0.0692 %
TV4519         0.3619 %
TV4522         0.7691 %
TV4526         0.2261 %
TV4528         0.5359 %
TV4529         0.1703 %
TV4530         0.4836 %
TV4536         0.7318 %
TV4537         0.0507 %
TV4544         0.1280 %
TV4556         0.5633 %
TV4558         0.0545 %
TV4753         0.7186 %
TV4790         0.0822 %
