Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV1003,10,,,,,0.000000E+00,0.9356,10,0,338,338,,,<
TV2003,10,,,,,0.000000E+00,0.5490,10,0,338,338,,
TV2004,10,TV5080,9,,,7.889235E+00,0.5654,10,0,338,338,7.889235E+00,,<
TV2005,10,TV2004,10,,,8.540957E+00,0.8443,10,1,338,338,8.540957E+00,,<
TV2017,10,,,,,0.000000E+00,0.9220,10,0,338,338,,,<
TV2026,9,,,,,0.000000E+00,0.4147,9,0,332,332,,
TV2030,9,,,,,0.000000E+00,0.9940,9,0,330,330,,,<
TV2031,10,TV2775,9,TV2053,10,1.221463E+01,0.4110,10,2,338,338,-6.003790E-02,6.743614E+00,<
TV2032,8,,,,,0.000000E+00,0.6357,8,0,329,329,,,<
TV2033,9,TV5023,9,TV2502,10,1.363692E+01,0.2833,9,2,330,330,5.712992E+00,7.020304E+00,<
TV2034,8,,,,,0.000000E+00,0.9770,9,0,316,316,,,<
TV2041,10,TV2773,9,,,6.276721E+00,0.3581,10,1,338,338,6.276721E+00,,<
TV2048,10,,,,,0.000000E+00,0.9683,10,0,338,338,,,<
TV2053,10,,,,,0.000000E+00,0.3848,10,0,338,338,,,<
TV2055,9,,,,,0.000000E+00,0.5601,10,0,331,331,,,<
TV2060,10,,,,,0.000000E+00,0.9903,10,0,338,338,,,<
TV2062,10,,,,,0.000000E+00,0.5186,10,0,338,338,,
TV2064,10,TV2065,10,,,6.557702E+00,0.5496,10,1,338,338,6.557702E+00,,<
TV2065,10,,,,,0.000000E+00,0.4183,10,0,338,338,,,<
TV2066,9,,,,,0.000000E+00,0.9918,9,0,330,330,,,<
TV2068,6,,,,,0.000000E+00,0.9191,6,0,240,240,,,<
TV2069,9,,,,,0.000000E+00,0.9769,9,0,332,332,,,<
TV2071,10,,,,,0.000000E+00,0.9808,10,0,338,338,,,<
TV2078,10,,,,,0.000000E+00,0.8733,10,0,338,338,,,<
TV2080,9,,,,,0.000000E+00,0.5213,9,0,330,330,,,<
TV2086,7,,,,,0.000000E+00,1.0000,9,0,313,313,,,<
TV2090,10,,,,,0.000000E+00,0.8737,10,0,338,338,,,<
TV2252,10,,,,,0.000000E+00,0.9835,10,0,338,338,,,<
TV2253,9,,,,,0.000000E+00,0.9547,9,0,330,330,,,<
TV2254,9,,,,,0.000000E+00,0.7729,10,0,332,332,,,<
TV2257,10,,,,,0.000000E+00,0.7887,10,0,338,338,,,<
TV2258,9,,,,,0.000000E+00,0.9864,9,0,331,331,,,<
TV2259,8,,,,,0.000000E+00,1.0000,8,0,317,317,,,<
TV2261,10,,,,,0.000000E+00,0.9616,10,0,338,338,,,<
TV2265,10,,,,,0.000000E+00,0.6586,10,0,338,338,,,<
TV2268,10,,,,,0.000000E+00,0.4614,10,0,338,338,,
TV2269,8,TV2271,8,,,9.873400E+00,0.3998,9,0,330,330,9.873400E+00,,<
TV2271,8,TV2269,8,,,9.873400E+00,0.5336,9,0,316,316,9.873400E+00,
TV2272,9,,,,,0.000000E+00,1.0000,9,0,331,331,,,<
TV2277,10,,,,,0.000000E+00,0.9814,10,0,338,338,,,<
TV2280,9,,,,,0.000000E+00,0.7746,9,0,335,335,,,<
TV2281,10,,,,,0.000000E+00,0.8459,10,0,338,338,,,<
TV2282,7,,,,,0.000000E+00,0.6315,7,0,311,311,,,<
TV2283,6,,,,,0.000000E+00,0.6547,7,0,274,274,,,<
TV2284,10,,,,,0.000000E+00,0.9882,10,0,338,338,,,<
TV2285,9,,,,,0.000000E+00,0.4345,10,0,332,332,,
TV2286,10,,,,,0.000000E+00,0.9850,10,0,338,338,,,<
TV2288,9,,,,,0.000000E+00,0.4750,10,0,331,331,,,<
TV2290,8,,,,,0.000000E+00,0.4618,8,0,319,319,,,<
TV2293,10,,,,,0.000000E+00,0.6875,10,0,338,338,,,<
TV2295,8,,,,,0.000000E+00,0.9287,8,0,320,320,,,<
TV2296,10,,,,,0.000000E+00,0.9966,10,0,338,338,,,<
TV2297,7,,,,,0.000000E+00,0.9130,8,0,311,311,,,<
TV2298,10,,,,,0.000000E+00,0.9767,10,0,338,338,,,<
TV2299,10,,,,,0.000000E+00,0.5384,10,0,338,338,,
TV2302,9,,,,,0.000000E+00,0.5077,9,0,331,331,,,<
TV2304,8,,,,,0.000000E+00,0.8519,8,0,317,317,,,<
TV2501,9,,,,,0.000000E+00,0.4876,9,0,332,332,,,<
TV2502,10,,,,,0.000000E+00,0.5293,10,0,338,338,,,<
TV2503,10,,,,,0.000000E+00,0.9056,10,0,338,338,,,<
TV2504,9,TV5041,10,TV2080,9,1.062882E+01,0.3731,9,2,331,331,4.543544E+00,3.117461E+00,<
TV2506,9,,,,,0.000000E+00,0.6310,10,0,331,331,,,<
TV2511,9,,,,,0.000000E+00,0.9748,9,0,336,336,,,<
TV2514,9,,,,,0.000000E+00,0.9680,9,0,336,336,,,<
TV2515,10,,,,,0.000000E+00,0.5803,10,0,338,338,,
TV2517,7,,,,,0.000000E+00,0.9970,7,0,311,311,,,<
TV2518,9,,,,,0.000000E+00,0.9275,10,0,336,336,,,<
TV2519,9,,,,,0.000000E+00,0.9929,10,0,332,332,,,<
TV2520,10,,,,,0.000000E+00,0.9996,10,0,338,338,,,<
TV2522,10,,,,,0.000000E+00,0.9842,10,0,338,338,,,<
TV2523,8,,,,,0.000000E+00,0.8938,10,0,320,320,,,<
TV2524,9,,,,,0.000000E+00,0.6367,10,0,332,332,,,<
TV2525,8,TV2524,9,TV2524,9,2.769790E+01,0.6365,8,0,316,316,1.439225E+01,1.439225E+01,<
TV2527,10,TV2269,8,,,6.028082E+00,0.5365,10,1,338,338,6.028082E+00,,<
TV2529,9,,,,,0.000000E+00,0.7878,9,0,332,332,,,<
TV2530,9,,,,,0.000000E+00,0.5080,9,0,332,332,,,<
TV2753,9,,,,,0.000000E+00,0.2951,9,0,332,332,,,<
TV2755,8,TV4782,10,TV2784,9,1.382283E+01,0.8989,8,1,316,316,3.432926E+00,4.868164E+00,<
TV2757,10,,,,,0.000000E+00,0.4147,10,0,338,338,,,<
TV2759,10,,,,,0.000000E+00,0.9257,10,0,338,338,,,<
TV2762,9,TV3026,9,,,5.332411E+00,0.5172,9,1,330,330,5.332411E+00,,<
TV2764,9,,,,,0.000000E+00,0.6214,10,0,331,331,,,<
TV2766,9,TV2772,7,,,7.641259E+00,0.5135,9,0,331,331,7.641259E+00,,<
TV2770,10,,,,,0.000000E+00,0.9338,10,0,338,338,,,<
TV2772,7,,,,,0.000000E+00,0.4086,7,0,311,311,,,<
TV2773,9,,,,,0.000000E+00,0.4179,10,0,331,331,,
TV2774,9,,,,,0.000000E+00,0.7443,10,0,331,331,,,<
TV2775,9,,,,,0.000000E+00,0.8920,9,0,336,336,,,<
TV2780,10,,,,,0.000000E+00,0.6692,10,0,338,338,,,<
TV2781,10,,,,,0.000000E+00,0.9160,10,0,338,338,,,<
TV2782,8,TV2775,9,TV2757,10,1.388551E+01,0.4134,8,1,316,316,4.000838E+00,7.196610E+00,<
TV2784,9,TV5116,7,,,5.886545E+00,0.5320,10,0,331,331,5.886545E+00,,<
TV2788,10,TV2780,10,TV2774,9,1.324685E+01,0.5002,10,3,338,338,5.527856E+00,6.053832E+00,<
TV2789,9,,,,,0.000000E+00,0.8150,9,0,330,330,,,<
TV2790,10,,,,,0.000000E+00,0.9791,10,0,338,338,,,<
TV2792,10,,,,,0.000000E+00,0.8699,10,0,338,338,,,<
TV2795,10,,,,,0.000000E+00,0.6240,10,0,338,338,,,<
TV2796,6,,,,,0.000000E+00,0.7764,6,0,240,240,,,<
TV2797,10,,,,,0.000000E+00,0.9886,10,0,338,338,,,<
TV2798,9,,,,,0.000000E+00,0.7503,10,0,335,335,,,<
TV2804,10,,,,,0.000000E+00,0.9950,10,0,338,338,,,<
TV2808,9,,,,,0.000000E+00,0.7498,9,0,335,335,,,<
TV2810,10,TV2053,10,,,6.535572E+00,0.5503,10,1,338,338,6.535572E+00,,<
TV2812,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
