Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV1003,10,,,,,0.000000E+00,0.9978,10,0,338,338,,,<
TV2003,10,,,,,0.000000E+00,0.9550,10,0,338,338,,,<
TV2004,10,,,,,0.000000E+00,0.4690,10,0,338,338,,,<
TV2005,10,,,,,0.000000E+00,0.6107,10,0,338,338,,,<
TV2017,10,,,,,0.000000E+00,0.9975,10,0,338,338,,,<
TV2026,9,,,,,0.000000E+00,0.9182,9,0,332,332,,,<
TV2030,9,,,,,0.000000E+00,1.0000,9,0,330,330,,,<
TV2031,10,,,,,0.000000E+00,0.8577,10,0,338,338,,,<
TV2032,8,,,,,0.000000E+00,0.9703,8,0,329,329,,,<
TV2033,9,,,,,0.000000E+00,0.7001,9,0,330,330,,,<
TV2034,8,,,,,0.000000E+00,0.9986,9,0,316,316,,,<
TV2041,10,,,,,0.000000E+00,0.8808,10,0,338,338,,,<
TV2048,10,,,,,0.000000E+00,0.9978,10,0,338,338,,,<
TV2053,10,,,,,0.000000E+00,0.7720,10,0,338,338,,,<
TV2055,9,,,,,0.000000E+00,0.8538,10,0,331,331,,,<
TV2060,10,,,,,0.000000E+00,0.9997,10,0,338,338,,,<
TV2062,10,,,,,0.000000E+00,0.8613,10,0,338,338,,,<
TV2064,10,,,,,0.000000E+00,0.8863,10,0,338,338,,,<
TV2065,10,,,,,0.000000E+00,0.8677,10,0,338,338,,,<
TV2066,9,,,,,0.000000E+00,1.0000,9,0,330,330,,,<
TV2068,6,,,,,0.000000E+00,0.9945,6,0,240,240,,,<
TV2069,9,,,,,0.000000E+00,0.9995,9,0,332,332,,,<
TV2071,10,,,,,0.000000E+00,0.9997,10,0,338,338,,,<
TV2078,10,,,,,0.000000E+00,0.9922,10,0,338,338,,,<
TV2080,9,,,,,0.000000E+00,0.9566,9,0,330,330,,,<
TV2086,7,,,,,0.000000E+00,1.0000,9,0,313,313,,,<
TV2090,10,,,,,0.000000E+00,0.9914,10,0,338,338,,,<
TV2252,10,,,,,0.000000E+00,0.9991,10,0,338,338,,,<
TV2253,9,,,,,0.000000E+00,0.9991,9,0,330,330,,,<
TV2254,9,,,,,0.000000E+00,0.9919,10,0,332,332,,,<
TV2257,10,,,,,0.000000E+00,0.9926,10,0,338,338,,,<
TV2258,9,,,,,0.000000E+00,0.9996,9,0,331,331,,,<
TV2259,8,,,,,0.000000E+00,1.0000,8,0,317,317,,,<
TV2261,10,,,,,0.000000E+00,0.9988,10,0,338,338,,,<
TV2265,10,,,,,0.000000E+00,0.9857,10,0,338,338,,,<
TV2268,10,,,,,0.000000E+00,0.9493,10,0,338,338,,,<
TV2269,8,TV2271,8,,,9.873400E+00,0.5067,9,0,330,330,9.873400E+00,
TV2271,8,,,,,0.000000E+00,0.3889,9,0,316,316,,
TV2272,9,,,,,0.000000E+00,1.0000,9,0,331,331,,,<
TV2277,10,,,,,0.000000E+00,0.9995,10,0,338,338,,,<
TV2280,9,,,,,0.000000E+00,0.9942,9,0,335,335,,,<
TV2281,10,,,,,0.000000E+00,0.9925,10,0,338,338,,,<
TV2282,7,,,,,0.000000E+00,0.9676,7,0,311,311,,,<
TV2283,6,,,,,0.000000E+00,0.9557,7,0,274,274,,,<
TV2284,10,,,,,0.000000E+00,0.9997,10,0,338,338,,,<
TV2285,9,,,,,0.000000E+00,0.9116,10,0,332,332,,,<
TV2286,10,,,,,0.000000E+00,0.9997,10,0,338,338,,,<
TV2288,9,,,,,0.000000E+00,0.9639,10,0,331,331,,,<
TV2290,8,,,,,0.000000E+00,0.8981,8,0,319,319,,,<
TV2293,10,,,,,0.000000E+00,0.9832,10,0,338,338,,,<
TV2295,8,,,,,0.000000E+00,0.9966,8,0,320,320,,,<
TV2296,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV2297,7,,,,,0.000000E+00,0.9978,8,0,311,311,,,<
TV2298,10,,,,,0.000000E+00,0.9998,10,0,338,338,,,<
TV2299,10,,,,,0.000000E+00,0.9018,10,0,338,338,,,<
TV2302,9,,,,,0.000000E+00,0.9286,9,0,331,331,,,<
TV2304,8,,,,,0.000000E+00,0.9941,8,0,317,317,,,<
TV2501,9,,,,,0.000000E+00,0.9585,9,0,332,332,,,<
TV2502,10,,,,,0.000000E+00,0.8393,10,0,338,338,,,<
TV2503,10,,,,,0.000000E+00,0.9952,10,0,338,338,,,<
TV2504,9,,,,,0.000000E+00,0.9639,9,0,331,331,,,<
TV2506,9,,,,,0.000000E+00,0.9890,10,0,331,331,,,<
TV2511,9,,,,,0.000000E+00,0.9980,9,0,336,336,,,<
TV2514,9,,,,,0.000000E+00,0.9987,9,0,336,336,,,<
TV2515,10,,,,,0.000000E+00,0.9578,10,0,338,338,,,<
TV2517,7,,,,,0.000000E+00,1.0000,7,0,311,311,,,<
TV2518,9,,,,,0.000000E+00,0.9984,10,0,336,336,,,<
TV2519,9,,,,,0.000000E+00,0.9997,10,0,332,332,,,<
TV2520,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV2522,10,,,,,0.000000E+00,0.9995,10,0,338,338,,,<
TV2523,8,,,,,0.000000E+00,0.9944,10,0,320,320,,,<
TV2524,9,,,,,0.000000E+00,0.7450,10,0,332,332,,,<
TV2525,8,TV2524,9,TV2524,9,2.769790E+01,0.7300,8,0,316,316,1.439225E+01,1.439225E+01,<
TV2527,10,,,,,0.000000E+00,0.9215,10,0,338,338,,,<
TV2529,9,,,,,0.000000E+00,0.9913,9,0,332,332,,,<
TV2530,9,,,,,0.000000E+00,0.9695,9,0,332,332,,,<
TV2753,9,,,,,0.000000E+00,0.8703,9,0,332,332,,,<
TV2755,8,,,,,0.000000E+00,0.9124,8,0,316,316,,,<
TV2757,10,,,,,0.000000E+00,0.8085,10,0,338,338,,,<
TV2759,10,,,,,0.000000E+00,0.9972,10,0,338,338,,,<
TV2762,9,,,,,0.000000E+00,0.9578,9,0,330,330,,,<
TV2764,9,,,,,0.000000E+00,0.9763,10,0,331,331,,,<
TV2766,9,,,,,0.000000E+00,0.7489,9,0,331,331,,,<
TV2770,10,,,,,0.000000E+00,0.9969,10,0,338,338,,,<
TV2772,7,,,,,0.000000E+00,0.7092,7,0,311,311,,,<
TV2773,9,,,,,0.000000E+00,0.8629,10,0,331,331,,,<
TV2774,9,,,,,0.000000E+00,0.9202,10,0,331,331,,,<
TV2775,9,,,,,0.000000E+00,0.9854,9,0,336,336,,,<
TV2780,10,,,,,0.000000E+00,0.9445,10,0,338,338,,,<
TV2781,10,,,,,0.000000E+00,0.9968,10,0,338,338,,,<
TV2782,8,,,,,0.000000E+00,0.7535,8,0,316,316,,,<
TV2784,9,,,,,0.000000E+00,0.8940,10,0,331,331,,,<
TV2788,10,,,,,0.000000E+00,0.8554,10,0,338,338,,,<
TV2789,9,,,,,0.000000E+00,0.9924,9,0,330,330,,,<
TV2790,10,,,,,0.000000E+00,0.9989,10,0,338,338,,,<
TV2792,10,,,,,0.000000E+00,0.9955,10,0,338,338,,,<
TV2795,10,,,,,0.000000E+00,0.9512,10,0,338,338,,,<
TV2796,6,,,,,0.000000E+00,0.9890,6,0,240,240,,,<
TV2797,10,,,,,0.000000E+00,0.9992,10,0,338,338,,,<
