Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Wed Apr 12 15:47:27 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV2031         0.0779 %
TV2033         0.4144 %
TV2065         0.1283 %
TV2254         0.0777 %
TV2265         0.1363 %
TV2282         0.1262 %
TV2285         0.0652 %
TV2288         0.1180 %
TV2502         0.4440 %
TV2506         0.0585 %
TV2530         0.2732 %
TV2755         0.8501 %
TV2757         0.1019 %
TV2780         0.1836 %
TV2782         0.0592 %
TV2784         0.0646 %
TV2788         0.5089 %
TV2789         0.0708 %
TV2795         0.2872 %
TV3008         0.1976 %
TV3012         0.0680 %
TV3017         0.1388 %
TV3025         0.1319 %
TV3037         0.1195 %
TV3050         0.5365 %
TV3055         0.4914 %
TV3208         0.5827 %
TV3210         0.1502 %
TV3221         0.2881 %
TV3224         0.0949 %
TV3228         0.2813 %
TV3234         0.5061 %
TV3238         0.1013 %
TV4256         0.1596 %
TV4261         0.7683 %
TV4269         0.0547 %
TV4272         0.2082 %
TV4273         0.0528 %
TV4280         0.1517 %
TV4288         0.8193 %
TV4295         0.0610 %
TV4296         0.0700 %
TV4298         0.2332 %
TV4306         0.2006 %
TV4308         0.4224 %
TV4309         0.0540 %
TV4508         0.0892 %
TV4511         0.1606 %
TV4519         0.3632 %
TV4522         0.4778 %
TV4526         0.1427 %
TV4528         0.5625 %
TV4529         0.1092 %
TV4530         0.3968 %
TV4536         0.6039 %
TV4537         0.0737 %
TV4544         0.0673 %
TV4556         0.3517 %
TV4753         0.7126 %
TV4792         0.0889 %
TV4796         0.2806 %
TV4811         0.1322 %
TV4839         0.6854 %
TV5024         0.0537 %
TV5029         0.3651 %
TV5032         0.3705 %
TV5045         0.8152 %
TV5046         0.0731 %
TV5054         0.1352 %
TV5059         0.4960 %
TV5063         0.0508 %
TV5064         0.4880 %
TV5065         0.3595 %
TV5071         0.3541 %
TV5075         0.6203 %
TV5088         0.2655 %
TV5119         0.2836 %
TV5139         0.1141 %
TV5146         0.1309 %
TV5165         0.1029 %
TV5177         0.0503 %
TV5194         0.0772 %
TV5197         0.0710 %
TV5207         0.0691 %
TV5217         0.0979 %
TV5218         0.6938 %
TV5220         0.1045 %
TV5227         0.1783 %
TV5228         0.1082 %
TV5281         0.0718 %
TV5299         0.1007 %
TV5304         0.2935 %
TV5311         0.1139 %

TOTAL: 93

*** Locus 2 ***

TV2031         0.5784 %
TV2053         0.2417 %
TV2064         0.4525 %
TV2065         0.3242 %
TV3029         0.0943 %
TV3208         0.6146 %
TV3216         0.1162 %
TV3231         0.1451 %
TV4253         0.1505 %
TV4254         0.7313 %
TV4258         0.3099 %
TV4274         0.1730 %
TV4275         0.2280 %
TV4280         0.1286 %
TV4283         0.0687 %
TV4286         0.4898 %
TV4287         0.5192 %
TV4291         0.4958 %
TV4300         0.0713 %
TV4301         0.1100 %
TV4304         0.2553 %
TV4503         0.2053 %
TV4508         0.1323 %
TV4525         0.5323 %
TV4532         0.2355 %
TV4537         0.0737 %
TV4546         0.7257 %
TV4547         0.2942 %
TV4571         0.0755 %
TV4754         0.9822 %
TV4771         0.5736 %
TV4774         0.1267 %
TV4796         0.2963 %
TV4808         0.0535 %
TV4818         0.0513 %
TV4835         0.6110 %
TV4839         0.6729 %
TV5031         0.1993 %
TV5056         0.5168 %
TV5063         0.3872 %
TV5138         0.7300 %
TV5223         0.1056 %
TV5228         0.2894 %
TV5239         0.1640 %
TV5249         0.4552 %
TV5304         0.1621 %

TOTAL: 46

*** Locus 3 ***

TV2041         0.4231 %
TV2078         0.0608 %
TV2090         0.0639 %
TV2288         0.1899 %
TV2501         0.1420 %
TV2504         0.3501 %
TV2773         0.3053 %
TV3001         0.2099 %
TV3011         0.1397 %
TV3017         0.6042 %
TV3019         0.2669 %
TV3020         0.2665 %
TV3021         0.3072 %
TV3051         0.0649 %
TV3056         0.8997 %
TV3204         0.0727 %
TV3210         0.0513 %
TV3211         0.4610 %
TV3212         0.3449 %
TV3213         0.5572 %
TV3228         0.3116 %
TV4253         0.1356 %
TV4255         0.4411 %
TV4259         0.7593 %
TV4268         0.0697 %
TV4272         0.6010 %
TV4277         0.1622 %
TV4284         0.0517 %
TV4286         0.3351 %
TV4300         0.1245 %
TV4301         0.5046 %
TV4302         0.3510 %
TV4305         0.3992 %
TV4307         0.0576 %
TV4308         0.2213 %
TV4316         0.9741 %
TV4319         0.1103 %
TV4501         0.0946 %
TV4505         0.2550 %
TV4507         0.0798 %
TV4513         0.3177 %
TV4514         0.5957 %
TV4516         0.5178 %
TV4517         0.2029 %
TV4519         0.2368 %
TV4522         0.4765 %
TV4524         0.8062 %
TV4546         0.1171 %
TV4550         0.5666 %
TV4552         0.2290 %
TV4556         0.1481 %
TV4558         0.6343 %
TV4566         0.4544 %
TV4568         0.0542 %
TV4754         0.9948 %
TV4755         0.6217 %
TV4762         0.1297 %
TV4767         0.0748 %
TV4772         0.4455 %
TV4773         0.3072 %
TV4776         0.1045 %
TV4778         0.0739 %
TV4798         0.6043 %
TV4818         0.1975 %
TV4827         0.5524 %
TV4828         0.2478 %
TV4830         0.2198 %
TV4831         0.0597 %
TV4836         0.0589 %
TV5024         0.0602 %
TV5054         0.0784 %
TV5081         0.8700 %
TV5124         0.0889 %
TV5125         0.5020 %
TV5132         0.6579 %
TV5140         0.1037 %
TV5143         0.5499 %
TV5168         0.4244 %
TV5169         0.3094 %
TV5187         0.0636 %
TV5232         0.0758 %
TV5241         0.4333 %
TV5242         0.1368 %
TV5247         0.7032 %
TV5252         0.6973 %
TV5254         0.2977 %
TV5257         0.3480 %
TV5274         0.4168 %
TV5280         0.3549 %
TV5288         0.3135 %
TV5303         0.4882 %
TV5304         0.2307 %
TV5305         0.1191 %

TOTAL: 93

*** Locus 4 ***

TV2031         0.2354 %
TV2041         0.0547 %
TV2280         0.0780 %
TV2290         0.3904 %
TV2299         0.3849 %
TV2775         0.0713 %
TV2780         0.0731 %
TV2782         0.4427 %
TV3029         0.0825 %
TV3036         0.0555 %
TV3052         0.0540 %
TV3056         0.8957 %
TV3201         0.4512 %
TV3203         0.1769 %
TV3210         0.0544 %
TV3219         0.1209 %
TV3220         0.0792 %
TV3227         0.3401 %
TV3228         0.3116 %
TV3237         0.1635 %
TV3243         0.3248 %
TV3244         0.1749 %
TV4251         0.7444 %
TV4255         0.3995 %
TV4267         0.7049 %
