Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV1003,10,,,,,0.000000E+00,0.9708,10,0,338,338,,,<
TV2003,10,,,,,0.000000E+00,0.6953,10,0,338,338,,,<
TV2004,10,TV5080,9,,,7.889235E+00,0.4292,10,0,338,338,7.889235E+00,,<
TV2005,10,TV2004,10,,,8.540957E+00,0.7572,10,1,338,338,8.540957E+00,,<
TV2017,10,,,,,0.000000E+00,0.9613,10,0,338,338,,,<
TV2026,9,,,,,0.000000E+00,0.5392,9,0,332,332,,,<
TV2030,9,,,,,0.000000E+00,0.9969,9,0,330,330,,,<
TV2031,10,TV2053,10,,,6.743614E+00,0.3345,10,1,338,338,6.743614E+00,
TV2032,8,,,,,0.000000E+00,0.7808,8,0,329,329,,,<
TV2033,9,,,,,0.000000E+00,0.2887,9,0,330,330,,
TV2034,8,,,,,0.000000E+00,0.9936,9,0,316,316,,,<
TV2041,10,,,,,0.000000E+00,0.4736,10,0,338,338,,
TV2048,10,,,,,0.000000E+00,0.9827,10,0,338,338,,,<
TV2053,10,,,,,0.000000E+00,0.4256,10,0,338,338,,
TV2055,9,,,,,0.000000E+00,0.5940,10,0,331,331,,,<
TV2060,10,,,,,0.000000E+00,0.9937,10,0,338,338,,,<
TV2062,10,,,,,0.000000E+00,0.5646,10,0,338,338,,
TV2064,10,,,,,0.000000E+00,0.5462,10,0,338,338,,,<
TV2065,10,,,,,0.000000E+00,0.4947,10,0,338,338,,
TV2066,9,,,,,0.000000E+00,0.9990,9,0,330,330,,,<
TV2068,6,,,,,0.000000E+00,0.9459,6,0,240,240,,,<
TV2069,9,,,,,0.000000E+00,0.9924,9,0,332,332,,,<
TV2071,10,,,,,0.000000E+00,0.9890,10,0,338,338,,,<
TV2078,10,,,,,0.000000E+00,0.9392,10,0,338,338,,,<
TV2080,9,,,,,0.000000E+00,0.6906,9,0,330,330,,,<
TV2086,7,,,,,0.000000E+00,1.0000,9,0,313,313,,,<
TV2090,10,,,,,0.000000E+00,0.9361,10,0,338,338,,,<
TV2252,10,,,,,0.000000E+00,0.9905,10,0,338,338,,,<
TV2253,9,,,,,0.000000E+00,0.9662,9,0,330,330,,,<
TV2254,9,,,,,0.000000E+00,0.8927,10,0,332,332,,,<
TV2257,10,,,,,0.000000E+00,0.9036,10,0,338,338,,,<
TV2258,9,,,,,0.000000E+00,0.9960,9,0,331,331,,,<
TV2259,8,,,,,0.000000E+00,1.0000,8,0,317,317,,,<
TV2261,10,,,,,0.000000E+00,0.9793,10,0,338,338,,,<
TV2265,10,,,,,0.000000E+00,0.8197,10,0,338,338,,,<
TV2268,10,,,,,0.000000E+00,0.6154,10,0,338,338,,,<
