Software Version            : FRANz 1.2.3
Dataset                     : cluster_1
Time of Data Analysis       : Wed Apr  5 13:59:36 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV3025         0.1209 %
TV3210         0.1465 %
TV3221         0.2975 %
TV3228         0.2683 %
TV3234         0.5561 %
TV4269         0.0668 %
TV4280         0.1703 %
TV4288         0.7724 %
TV4306         0.2044 %
TV4308         0.4472 %
TV4508         0.1068 %
TV4526         0.1437 %
TV4528         0.5356 %
TV4536         0.5913 %
TV4537         0.0749 %
TV4544         0.0645 %
TV4753         0.7206 %
TV4796         0.2653 %
TV4811         0.0686 %
TV4839         0.6829 %
TV5054         0.1227 %
TV5059         0.6656 %
TV5061         0.6766 %
TV5063         0.0691 %
TV5088         0.2642 %
TV5119         0.2931 %
TV5165         0.0953 %
TV5194         0.0752 %
TV5197         0.0675 %
TV5207         0.0701 %
TV5227         0.1601 %
TV5235         0.1139 %
TV5250         0.1529 %
TV2031         0.0722 %
TV2033         0.4391 %
TV2065         0.1187 %
TV2254         0.0681 %
TV2265         0.1417 %
TV2282         0.1023 %
TV2285         0.0696 %
TV2288         0.0993 %
TV2502         0.4191 %
TV2506         0.0527 %
TV2530         0.2812 %
TV2755         0.8556 %
TV2757         0.0803 %
TV2780         0.1939 %
TV2782         0.0696 %
TV2784         0.0684 %
TV2788         0.5170 %
TV2789         0.0734 %
TV2795         0.2930 %
TV3008         0.2592 %
TV3012         0.0670 %
TV3017         0.0937 %
TV3026         0.0525 %
TV3037         0.1054 %
TV3050         0.5391 %
TV3055         0.4836 %
TV3208         0.6205 %
TV4529         0.0967 %
TV4792         0.1057 %
TV5029         0.6191 %
TV5032         0.3723 %
TV5045         0.8013 %
TV5046         0.0832 %
TV5064         0.4759 %
TV5065         0.3562 %
TV5071         0.3607 %
TV5075         0.5680 %
TV3224         0.1007 %
TV3238         0.0920 %
TV4256         0.1434 %
TV4261         0.6533 %
TV4265         0.1018 %
TV4272         0.2671 %
TV4273         0.0595 %
TV4274         0.0551 %
TV4286         0.0553 %
TV4295         0.1002 %
TV4296         0.0589 %
TV4298         0.2447 %
TV4309         0.0646 %
TV4511         0.1485 %
TV4519         0.3739 %
TV4522         0.4686 %
TV4530         0.4068 %
TV4556         0.3308 %
TV5139         0.1007 %
TV5146         0.1238 %
TV5217         0.1124 %
TV5218         0.7229 %
TV5220         0.1183 %
TV5228         0.1150 %
TV5281         0.0773 %
TV5299         0.0933 %
TV5304         0.3083 %

TOTAL: 97

*** Locus 2 ***

TV4253         0.1446 %
TV4254         0.7315 %
TV4258         0.3110 %
TV4280         0.1461 %
TV4283         0.0654 %
TV4290         0.0842 %
TV4291         0.5082 %
TV4300         0.0834 %
TV4503         0.1926 %
TV4508         0.1191 %
TV4525         0.5093 %
TV4532         0.1215 %
TV4537         0.0749 %
TV4546         0.6047 %
TV4754         0.9800 %
TV4774         0.1219 %
TV4796         0.2757 %
TV4808         0.0599 %
TV4835         0.6307 %
TV4839         0.6694 %
TV5063         0.3924 %
TV5249         0.4582 %
TV2031         0.5705 %
TV2053         0.2357 %
TV2064         0.4473 %
TV2065         0.3134 %
TV3029         0.1016 %
TV3208         0.6464 %
TV3216         0.1403 %
TV3231         0.1257 %
TV5031         0.2070 %
TV5056         0.5112 %
TV4274         0.1764 %
TV4275         0.2451 %
TV4286         0.4933 %
TV4287         0.5128 %
TV4301         0.1059 %
TV4304         0.3689 %
TV4547         0.2921 %
TV4571         0.0668 %
TV4771         0.5679 %
TV5138         0.7457 %
TV5153         0.1669 %
TV5223         0.1190 %
TV5228         0.2766 %
TV5239         0.1755 %
TV5254         0.1273 %
TV5304         0.1494 %

TOTAL: 48

*** Locus 3 ***

TV2078         0.0620 %
TV2773         0.3158 %
TV3001         0.1560 %
TV3011         0.1280 %
TV3021         0.3015 %
TV3204         0.0797 %
TV3212         0.3019 %
TV3228         0.2809 %
TV4253         0.1438 %
TV4259         0.7747 %
TV4268         0.0554 %
TV4284         0.0506 %
TV4290         0.0791 %
TV4300         0.1027 %
TV4302         0.3467 %
TV4307         0.0604 %
TV4308         0.1551 %
TV4505         0.2492 %
TV4513         0.3126 %
TV4516         0.5030 %
TV4517         0.2132 %
TV4524         0.8215 %
TV4546         0.1301 %
TV4568         0.0637 %
TV4754         0.9933 %
TV4755         0.6532 %
TV4772         0.4107 %
TV4778         0.1427 %
TV4798         0.5957 %
TV4818         0.1923 %
