Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV2030,9,,,,,0.000000E+00,0.9983,9,0,337,337,,,<
TV2032,8,,,,,0.000000E+00,0.7754,8,0,335,335,,,<
TV2048,10,,,,,0.000000E+00,0.9845,10,0,344,344,,,<
TV2060,10,,,,,0.000000E+00,0.9944,10,0,344,344,,,<
TV2071,10,,,,,0.000000E+00,0.9891,10,0,344,344,,,<
TV2078,10,,,,,0.000000E+00,0.9380,10,0,344,344,,,<
TV2086,7,,,,,0.000000E+00,1.0000,9,0,320,320,,,<
TV2283,6,,,,,0.000000E+00,0.7273,7,0,280,280,,,<
TV2297,7,,,,,0.000000E+00,0.9627,8,0,318,318,,,<
TV2302,9,,,,,0.000000E+00,0.6148,9,0,337,337,,,<
TV2511,9,,,,,0.000000E+00,0.9893,9,0,343,343,,,<
TV2515,10,,,,,0.000000E+00,0.7311,10,0,344,344,,,<
TV2519,9,,,,,0.000000E+00,0.9967,10,0,339,339,,,<
TV2523,8,,,,,0.000000E+00,0.9463,10,0,327,327,,,<
TV2762,9,,,,,0.000000E+00,0.6368,9,0,337,337,,,<
TV2766,9,TV2772,7,,,7.642873E+00,0.4972,9,0,337,337,7.642873E+00,,<
TV2773,9,,,,,0.000000E+00,0.4973,10,0,337,337,,,<
TV2798,9,,,,,0.000000E+00,0.8857,10,0,342,342,,,<
TV2804,10,,,,,0.000000E+00,0.9955,10,0,344,344,,,<
TV3001,10,,,,,0.000000E+00,0.7304,10,0,344,344,,,<
TV3003,9,,,,,0.000000E+00,0.9536,9,0,337,337,,,<
TV3009,10,,,,,0.000000E+00,0.9880,10,0,344,344,,,<
TV3011,10,TV3231,10,,,7.076855E+00,0.4204,10,1,344,344,7.076855E+00,,<
TV3013,10,,,,,0.000000E+00,0.9534,10,0,344,344,,,<
TV3021,10,,,,,0.000000E+00,0.6985,10,0,344,344,,,<
TV3025,9,,,,,0.000000E+00,0.5002,9,0,339,339,,,<
TV3032,9,TV5051,6,,,1.066832E+01,0.7056,9,0,342,342,1.066832E+01,,<
TV3045,10,,,,,0.000000E+00,0.9823,10,0,344,344,,,<
TV3054,8,,,,,0.000000E+00,0.8457,9,0,327,327,,,<
TV3201,9,,,,,0.000000E+00,0.5266,9,0,337,337,,
TV3204,10,,,,,0.000000E+00,0.9114,10,0,344,344,,,<
TV3205,9,,,,,0.000000E+00,0.9871,10,0,343,343,,,<
TV3210,9,,,,,0.000000E+00,0.7502,10,0,337,337,,,<
TV3212,9,TV4757,10,,,7.690216E+00,0.3350,9,1,337,337,7.690216E+00,
TV3214,10,,,,,0.000000E+00,0.9659,10,0,344,344,,,<
TV3220,10,,,,,0.000000E+00,0.8872,10,0,344,344,,,<
TV3221,10,,,,,0.000000E+00,0.7025,10,0,344,344,,,<
TV3226,10,,,,,0.000000E+00,1.0000,10,0,344,344,,,<
TV3228,10,TV4755,10,,,8.348738E+00,0.2487,10,2,344,344,8.348738E+00,
TV3229,10,,,,,0.000000E+00,0.6541,10,0,344,344,,,<
TV3233,10,,,,,0.000000E+00,0.9242,10,0,344,344,,,<
TV3234,10,,,,,0.000000E+00,0.4197,10,0,344,344,,,<
TV3235,7,,,,,0.000000E+00,0.9035,7,0,316,316,,,<
TV3237,10,,,,,0.000000E+00,0.8431,10,0,344,344,,,<
TV3239,10,,,,,0.000000E+00,0.9443,10,0,344,344,,,<
TV3241,9,,,,,0.000000E+00,0.9838,9,0,337,337,,,<
TV3244,10,,,,,0.000000E+00,0.8439,10,0,344,344,,,<
TV4253,6,TV4546,10,,,8.891896E+00,0.5245,6,0,280,280,8.891896E+00,,<
TV4254,9,TV5283,7,TV4503,10,1.283076E+01,0.3612,10,2,343,343,1.229773E+00,5.377793E+00
TV4258,9,TV4786,10,,,7.233429E+00,0.3990,9,0,337,337,7.233429E+00,
TV4259,9,TV4286,10,,,7.398257E+00,0.5755,10,1,343,343,7.398257E+00,,<
TV4260,10,,,,,0.000000E+00,1.0000,10,0,344,344,,,<
TV4264,10,,,,,0.000000E+00,0.9702,10,0,344,344,,,<
TV4266,10,TV4256,10,TV4770,9,1.126544E+01,0.5314,10,3,344,344,1.779376E+00,2.778063E+00,<
TV4268,10,,,,,0.000000E+00,0.9359,10,0,344,344,,,<
TV4269,9,,,,,0.000000E+00,0.8404,9,0,339,339,,,<
TV4270,10,,,,,0.000000E+00,0.9958,10,0,344,344,,,<
TV4276,10,,,,,0.000000E+00,0.9628,10,0,344,344,,,<
TV4279,9,,,,,0.000000E+00,0.9500,10,0,342,342,,,<
TV4280,10,,,,,0.000000E+00,0.8154,10,0,344,344,,,<
TV4283,9,,,,,0.000000E+00,0.9270,10,0,343,343,,,<
TV4284,9,TV4287,10,,,9.804631E+00,0.7571,9,1,343,343,9.804631E+00,
TV4288,10,TV4286,10,TV4284,9,1.348300E+01,0.7196,10,3,344,344,3.454423E-01,4.916869E+00,<
TV4290,9,TV5238,9,,,1.271466E+01,0.3511,10,0,343,343,1.271466E+01,
TV4291,9,TV4547,10,,,7.536717E+00,0.4540,10,1,343,343,7.536717E+00,,<
TV4297,9,,,,,0.000000E+00,0.9756,10,0,339,339,,,<
TV4299,10,TV4287,10,,,8.358620E+00,0.7722,10,1,344,344,8.358620E+00,,<
TV4300,9,TV5216,8,,,7.157492E+00,0.4113,9,0,343,343,7.157492E+00,
TV4302,10,,,,,0.000000E+00,0.3771,10,0,344,344,,
TV4303,10,,,,,0.000000E+00,0.7098,10,0,344,344,,,<
TV4306,9,,,,,0.000000E+00,0.7579,10,0,343,343,,,<
TV4307,10,TV5237,10,,,1.280824E+01,0.8677,10,0,344,344,1.280824E+01,,<
TV4308,10,TV4528,10,,,9.344108E+00,0.4465,10,1,344,344,9.344108E+00,,<
TV4310,10,,,,,0.000000E+00,1.0000,10,0,344,344,,,<
TV4311,9,,,,,0.000000E+00,0.9138,10,0,339,339,,,<
TV4313,10,,,,,0.000000E+00,0.9931,10,0,344,344,,,<
TV4314,10,,,,,0.000000E+00,0.5281,10,0,344,344,,,<
TV4318,10,TV4315,7,TV4322,7,1.333120E+01,0.3740,10,1,344,344,6.350633E+00,5.543294E+00,<
TV4502,10,,,,,0.000000E+00,0.5043,10,0,344,344,,,<
TV4503,10,,,,,0.000000E+00,0.8074,10,0,344,344,,,<
TV4505,10,,,,,0.000000E+00,0.7102,10,0,344,344,,,<
TV4508,9,,,,,0.000000E+00,0.7747,10,0,343,343,,,<
TV4513,10,TV5129,7,,,8.110847E+00,0.3569,10,0,344,344,8.110847E+00,,<
TV4516,10,,,,,0.000000E+00,0.4923,10,0,344,344,,,<
TV4517,10,TV5124,10,,,1.036821E+01,0.4621,10,1,344,344,1.036821E+01,
TV4518,10,,,,,0.000000E+00,1.0000,10,0,344,344,,,<
TV4520,9,,,,,0.000000E+00,0.9769,10,0,339,339,,,<
TV4524,10,TV5128,10,TV4300,9,1.359562E+01,0.7187,10,3,344,344,3.110581E+00,5.523940E+00,<
TV4525,9,TV4521,10,TV4532,7,2.802632E+01,0.4867,9,1,339,339,2.094368E+01,4.121819E+00,<
TV4526,9,,,,,0.000000E+00,0.8157,10,0,342,342,,,<
TV4528,10,TV4308,10,,,9.344108E+00,0.5354,10,1,344,344,9.344108E+00,
TV4532,7,TV4546,10,TV4533,10,2.695069E+01,0.2996,7,0,317,317,1.426611E+01,1.633645E+01
TV4533,10,TV4546,10,TV4532,7,2.519600E+01,0.6483,10,1,344,344,1.251141E+01,1.633645E+01,<
TV4536,10,TV5304,10,,,7.753800E+00,0.5913,10,2,344,344,7.753800E+00,,<
TV4537,10,,,,,0.000000E+00,0.9251,10,0,344,344,,,<
TV4540,9,,,,,0.000000E+00,0.8935,9,0,337,337,,,<
TV4544,10,,,,,0.000000E+00,0.6716,10,0,344,344,,,<
TV4545,10,TV4547,10,,,9.917642E+00,0.5935,10,1,344,344,9.917642E+00,
TV4546,10,TV4304,10,TV4532,7,2.541354E+01,0.3908,10,1,344,344,8.457137E+00,1.426611E+01,<
TV4554,10,,,,,0.000000E+00,0.5095,10,0,344,344,,,<
TV4555,10,,,,,0.000000E+00,0.9082,10,0,344,344,,,<
TV4557,10,,,,,0.000000E+00,0.9933,10,0,344,344,,,<
TV4568,10,,,,,0.000000E+00,0.9363,10,0,344,344,,,<
TV4752,10,TV3228,10,,,1.252725E+01,0.7571,10,1,344,344,1.252725E+01,
TV4753,9,TV3228,10,,,1.040721E+01,0.7191,9,1,337,337,1.040721E+01,,<
TV4754,10,TV4827,9,TV4755,10,1.890897E+01,0.9781,10,2,344,344,4.420506E+00,8.456185E+00,<
TV4755,10,TV3228,10,,,8.348738E+00,0.6462,10,2,344,344,8.348738E+00,,<
TV4757,10,TV4808,6,TV3212,9,1.535440E+01,0.3418,10,1,344,344,5.584146E+00,7.690216E+00,<
TV4758,10,TV4757,10,,,9.271226E+00,0.6697,10,1,344,344,9.271226E+00,,<
TV4760,10,TV4813,9,,,1.032959E+01,0.4133,10,0,344,344,1.032959E+01,,<
TV4761,10,,,,,0.000000E+00,0.9984,10,0,344,344,,,<
TV4764,10,,,,,0.000000E+00,0.9811,10,0,344,344,,,<
TV4765,10,,,,,0.000000E+00,0.9158,10,0,344,344,,,<
TV4769,10,TV4802,10,,,1.010068E+01,0.2409,10,1,344,344,1.010068E+01,
TV4770,9,TV4776,9,,,1.029673E+01,0.7350,9,0,339,339,1.029673E+01,
TV4772,10,,,,,0.000000E+00,0.5893,10,0,344,344,,,<
TV4774,10,TV4760,10,,,7.505915E+00,0.6691,10,1,344,344,7.505915E+00,,<
