Software Version            : FRANz 1.2.3
Dataset                     : cluster_1
Time of Data Analysis       : Wed Apr  5 13:51:38 2023


*** MCMC Parameters ***

Seed                         : 1680727897
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 1557
  Initial temperature c0     : 70.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 500000
Iterations                   : 3000000
Sample frequency             : 10
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 269
  Nmmax                      : 269

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |          1 |          0 |   -425.368 |   -490.230 |   25.415 |   70.000 |  0.68 |   1.901 |   1.901 |      0 |
 |          2 |       4671 |   -425.368 |   -492.190 |   21.901 |   64.368 |  0.67 |   2.753 |   2.753 |      0 |
 |          3 |       9341 |   -425.368 |   -496.037 |   23.514 |   58.871 |  0.69 |   2.033 |   2.033 |      0 |
 |          4 |      14011 |   -425.368 |   -494.546 |   24.391 |   54.533 |  0.68 |   3.701 |   3.701 |      0 |
 |          5 |      18681 |   -425.368 |   -484.323 |   22.551 |   50.916 |  0.66 |   3.501 |   3.501 |      0 |
 |          6 |      23351 |   -414.345 |   -486.716 |   27.026 |   47.509 |  0.67 |   3.159 |   3.159 |      0 |
 |          7 |      28021 |   -414.345 |   -490.810 |   24.181 |   44.996 |  0.67 |   1.103 |   1.103 |      0 |
 |          8 |      32691 |   -414.345 |   -484.971 |   22.181 |   42.484 |  0.67 |   2.392 |   2.392 |      0 |
 |          9 |      37361 |   -414.345 |   -488.359 |   24.835 |   40.047 |  0.67 |   1.201 |   1.201 |      0 |
 |         10 |      42031 |   -400.752 |   -489.578 |   32.163 |   38.096 |  0.67 |   2.545 |   2.545 |      0 |
 |         11 |      46701 |   -400.752 |   -484.987 |   21.085 |   36.714 |  0.68 |   3.204 |   3.204 |      0 |
 |         12 |      51371 |   -400.752 |   -476.231 |   22.790 |   34.790 |  0.69 |   3.454 |   3.454 |      0 |
 |         13 |      56041 |   -400.752 |   -475.399 |   25.695 |   33.180 |  0.67 |   3.109 |   3.109 |      0 |
 |         14 |      60711 |   -400.752 |   -473.493 |   24.666 |   31.873 |  0.66 |   3.588 |   3.588 |      0 |
 |         15 |      65381 |   -400.752 |   -480.384 |   25.429 |   30.616 |  0.66 |   0.771 |   0.771 |      0 |
 |         16 |      70051 |   -400.752 |   -475.814 |   20.069 |   29.488 |  0.67 |   2.842 |   2.842 |      0 |
 |         17 |      74721 |   -400.752 |   -473.924 |   23.530 |   28.173 |  0.68 |   3.061 |   3.061 |      0 |
 |         18 |      79391 |   -400.752 |   -488.401 |   21.339 |   27.140 |  0.64 |   2.943 |   2.943 |      0 |
 |         19 |      84061 |   -400.752 |   -482.078 |   26.067 |   26.086 |  0.67 |   1.815 |   1.815 |      0 |
 |         20 |      88731 |   -396.730 |   -465.483 |   20.513 |   25.283 |  0.67 |   2.174 |   2.174 |      0 |
 |         21 |      93401 |   -396.730 |   -466.471 |   24.216 |   24.330 |  0.67 |   2.107 |   2.107 |      0 |
 |         22 |      98071 |   -396.730 |   -478.314 |   20.697 |   23.577 |  0.67 |   1.956 |   1.956 |      0 |
 |         23 |     102741 |   -384.918 |   -460.201 |   23.788 |   22.754 |  0.68 |   3.833 |   3.833 |      0 |
 |         24 |     107411 |   -384.918 |   -467.874 |   23.314 |   22.083 |  0.67 |   1.721 |   1.721 |      0 |
 |         25 |     112081 |   -384.334 |   -453.867 |   25.564 |   21.438 |  0.65 |   0.789 |   0.789 |      0 |
 |         26 |     116751 |   -384.334 |   -460.991 |   23.227 |   20.881 |  0.68 |   2.123 |   2.123 |      0 |
 |         27 |     121421 |   -384.334 |   -460.693 |   19.318 |   20.301 |  0.66 |   1.584 |   1.584 |      0 |
 |         28 |     126091 |   -384.334 |   -465.010 |   19.310 |   19.646 |  0.67 |   0.669 |   0.669 |      0 |
 |         29 |     130761 |   -384.334 |   -459.665 |   22.639 |   19.030 |  0.67 |   2.783 |   2.783 |      0 |
 |         30 |     135431 |   -384.334 |   -458.312 |   25.471 |   18.535 |  0.66 |   3.063 |   3.063 |      0 |
 |         31 |     140101 |   -384.334 |   -468.964 |   26.197 |   18.117 |  0.67 |   1.678 |   1.678 |      0 |
 |         32 |     144771 |   -384.319 |   -452.067 |   25.636 |   17.727 |  0.67 |   0.517 |   0.517 |      0 |
 |         33 |     149441 |   -384.319 |   -457.861 |   27.315 |   17.346 |  0.67 |   1.612 |   1.612 |      0 |
 |         34 |     154111 |   -384.319 |   -449.854 |   22.855 |   17.003 |  0.66 |   2.648 |   2.648 |      0 |
 |         35 |     158781 |   -384.319 |   -451.513 |   28.329 |   16.610 |  0.67 |   3.345 |   3.345 |      0 |
 |         36 |     163451 |   -384.319 |   -466.704 |   28.852 |   16.307 |  0.63 |   1.199 |   1.199 |      0 |
 |         37 |     168121 |   -384.319 |   -454.006 |   20.369 |   16.019 |  0.66 |   1.631 |   1.631 |      0 |
 |         38 |     172791 |   -364.967 |   -443.589 |   23.176 |   15.629 |  0.67 |   2.322 |   2.322 |      0 |
 |         39 |     177461 |   -364.967 |   -448.889 |   29.628 |   15.301 |  0.64 |   0.752 |   0.752 |      0 |
 |         40 |     182131 |   -364.967 |   -452.032 |   21.595 |   15.054 |  0.66 |   3.305 |   3.305 |      0 |
 |         41 |     186801 |   -364.967 |   -460.022 |   21.557 |   14.728 |  0.67 |   0.398 |   0.398 |      0 |
 |         42 |     191471 |   -364.967 |   -442.536 |   20.795 |   14.415 |  0.67 |   1.210 |   1.210 |      0 |
 |         43 |     196141 |   -364.967 |   -454.530 |   27.920 |   14.104 |  0.65 |   2.908 |   2.908 |      0 |
 |         44 |     200811 |   -364.967 |   -450.947 |   27.717 |   13.881 |  0.66 |   2.334 |   2.334 |      0 |
 |         45 |     205481 |   -364.967 |   -454.499 |   25.813 |   13.664 |  0.63 |   2.231 |   2.231 |      0 |
 |         46 |     210151 |   -364.967 |   -448.561 |   20.343 |   13.438 |  0.64 |   3.120 |   3.120 |      0 |
 |         47 |     214821 |   -364.967 |   -447.717 |   22.437 |   13.162 |  0.65 |   2.336 |   2.336 |      0 |
 |         48 |     219491 |   -364.967 |   -450.139 |   22.390 |   12.921 |  0.65 |   2.159 |   2.159 |      0 |
 |         49 |     224161 |   -364.967 |   -450.018 |   22.957 |   12.688 |  0.65 |   1.974 |   1.974 |      0 |
 |         50 |     228831 |   -352.399 |   -435.501 |   27.382 |   12.469 |  0.65 |   2.179 |   2.179 |      0 |
 |         51 |     233501 |   -352.399 |   -449.694 |   23.447 |   12.291 |  0.66 |   1.868 |   1.868 |      0 |
 |         52 |     238171 |   -352.399 |   -446.948 |   23.636 |   12.090 |  0.65 |   0.687 |   0.687 |      0 |
 |         53 |     242841 |   -352.399 |   -454.164 |   26.227 |   11.897 |  0.65 |   3.833 |   3.833 |      0 |
 |         54 |     247511 |   -352.399 |   -442.103 |   28.601 |   11.728 |  0.64 |   1.055 |   1.055 |      0 |
 |         55 |     252181 |   -352.399 |   -450.223 |   21.094 |   11.577 |  0.64 |   2.457 |   2.457 |      0 |
 |         56 |     256851 |   -352.399 |   -438.431 |   22.624 |   11.379 |  0.64 |   0.344 |   0.344 |      0 |
 |         57 |     261521 |   -352.399 |   -443.993 |   26.036 |   11.200 |  0.65 |   3.588 |   3.588 |      0 |
 |         58 |     266191 |   -352.399 |   -434.990 |   22.947 |   11.049 |  0.63 |   3.240 |   3.240 |      0 |
 |         59 |     270861 |   -352.399 |   -448.971 |   20.375 |   10.882 |  0.65 |   0.415 |   0.415 |      0 |
 |         60 |     275531 |   -352.399 |   -447.064 |   23.032 |   10.701 |  0.65 |   2.187 |   2.187 |      0 |
 |         61 |     280201 |   -352.399 |   -448.690 |   20.178 |   10.545 |  0.65 |   1.643 |   1.643 |      0 |
