Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV2030,9,,,,,0.000000E+00,1.0000,9,0,124,124,,,<
TV2032,8,,,,,0.000000E+00,0.9936,8,0,124,124,,,<
TV2048,10,,,,,0.000000E+00,0.9880,10,0,128,128,,,<
TV2060,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV2071,10,,,,,0.000000E+00,0.9939,10,0,128,128,,,<
TV2078,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV2086,7,,,,,0.000000E+00,1.0000,9,0,121,121,,,<
TV2283,6,,,,,0.000000E+00,0.7379,7,0,106,106,,,<
TV2297,7,,,,,0.000000E+00,0.8517,8,0,120,120,,,<
TV2302,9,,,,,0.000000E+00,1.0000,9,0,125,125,,,<
TV2511,9,,,,,0.000000E+00,0.9946,9,0,126,126,,,<
TV2515,10,,,,,0.000000E+00,0.7095,10,0,128,128,,,<
TV2519,9,,,,,0.000000E+00,1.0000,10,0,126,126,,,<
TV2523,8,,,,,0.000000E+00,1.0000,10,0,122,122,,,<
TV2762,9,,,,,0.000000E+00,0.9860,9,0,124,124,,,<
TV2766,9,,,,,0.000000E+00,0.9689,9,0,125,125,,,<
TV2773,9,,,,,0.000000E+00,0.9962,10,0,125,125,,,<
TV2798,9,,,,,0.000000E+00,0.8376,10,0,125,125,,,<
TV2804,10,,,,,0.000000E+00,0.9954,10,0,128,128,,,<
TV3001,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV3003,9,,,,,0.000000E+00,0.9593,9,0,124,124,,,<
TV3009,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV3011,10,,,,,0.000000E+00,0.9739,10,0,128,128,,,<
TV3013,10,,,,,0.000000E+00,0.9949,10,0,128,128,,,<
TV3021,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV3025,9,,,,,0.000000E+00,0.5350,9,0,126,126,,
TV3032,9,,,,,0.000000E+00,1.0000,9,0,125,125,,,<
TV3045,10,,,,,0.000000E+00,0.9939,10,0,128,128,,,<
TV3054,8,,,,,0.000000E+00,1.0000,9,0,122,122,,,<
TV3201,9,,,,,0.000000E+00,0.5239,9,0,124,124,,
TV3204,10,,,,,0.000000E+00,0.9363,10,0,128,128,,,<
TV3205,9,,,,,0.000000E+00,0.9854,10,0,126,126,,,<
TV3210,9,,,,,0.000000E+00,0.5861,10,0,125,125,,,<
TV3212,9,,,,,0.000000E+00,0.5402,9,0,124,124,,
TV3214,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV3220,10,,,,,0.000000E+00,0.9554,10,0,128,128,,,<
TV3221,10,,,,,0.000000E+00,0.5764,10,0,128,128,,
TV3226,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV3228,10,TV4753,9,,,8.455812E+00,0.2558,10,1,128,128,8.455812E+00,,<
TV3229,10,,,,,0.000000E+00,0.7768,10,0,128,128,,,<
TV3233,10,,,,,0.000000E+00,0.9545,10,0,128,128,,,<
TV3234,10,,,,,0.000000E+00,0.3458,10,0,128,128,,
TV3235,7,,,,,0.000000E+00,0.9471,7,0,120,120,,,<
TV3237,10,,,,,0.000000E+00,0.9187,10,0,128,128,,,<
TV3239,10,,,,,0.000000E+00,0.9667,10,0,128,128,,,<
TV3241,9,,,,,0.000000E+00,0.9944,9,0,125,125,,,<
TV3244,10,,,,,0.000000E+00,0.9183,10,0,128,128,,,<
TV4253,6,TV4546,10,,,7.724817E+00,0.2950,6,0,106,106,7.724817E+00,
TV4254,9,,,,,0.000000E+00,0.7928,10,0,126,126,,,<
TV4258,9,TV4786,10,,,6.798775E+00,0.4979,9,0,124,124,6.798775E+00,
TV4259,9,,,,,0.000000E+00,0.5521,10,0,126,126,,,<
TV4260,10,,,,,0.000000E+00,1.0000,10,0,128,128,,,<
TV4264,10,,,,,0.000000E+00,0.9766,10,0,128,128,,,<
