Software Version            : FRANz 1.2.3
Dataset                     : TESTTREES
Time of Data Analysis       : Fri Mar 10 14:45:34 2023


*** MCMC Parameters ***

Seed                         : 1678488332
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 899
  Initial temperature c0     : 69.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 500000
Iterations                   : 3000000
Sample frequency             : 10
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 170
  Nmmax                      : 170

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |          1 |          0 |   -261.621 |   -317.860 |   21.366 |   69.000 |  0.67 |   1.378 |   1.378 |      0 |
 |          2 |       2697 |   -261.621 |   -319.798 |   17.396 |   62.579 |  0.68 |   0.471 |   0.471 |      0 |
 |          3 |       5393 |   -261.621 |   -322.679 |   18.859 |   56.161 |  0.67 |   3.460 |   3.460 |      0 |
 |          4 |       8089 |   -248.493 |   -308.645 |   21.431 |   51.307 |  0.69 |   1.829 |   1.829 |      0 |
 |          5 |      10785 |   -248.493 |   -311.419 |   19.885 |   47.680 |  0.68 |   3.835 |   3.835 |      0 |
 |          6 |      13481 |   -248.493 |   -317.277 |   13.087 |   44.305 |  0.67 |   2.123 |   2.123 |      0 |
 |          7 |      16177 |   -248.493 |   -318.040 |   18.102 |   40.003 |  0.69 |   1.938 |   1.938 |      0 |
 |          8 |      18873 |   -248.493 |   -314.217 |   17.983 |   37.379 |  0.67 |   3.791 |   3.791 |      0 |
 |          9 |      21569 |   -248.493 |   -320.965 |   19.882 |   35.063 |  0.68 |   0.931 |   0.931 |      0 |
 |         10 |      24265 |   -248.493 |   -316.223 |   23.110 |   33.203 |  0.68 |   2.496 |   2.496 |      0 |
 |         11 |      26961 |   -246.530 |   -307.753 |   17.415 |   31.753 |  0.67 |   2.559 |   2.559 |      0 |
 |         12 |      29657 |   -246.530 |   -314.107 |   21.808 |   30.015 |  0.66 |   3.269 |   3.269 |      0 |
 |         13 |      32353 |   -246.530 |   -310.620 |   16.975 |   28.757 |  0.66 |   3.963 |   3.963 |      0 |
 |         14 |      35049 |   -246.530 |   -314.103 |   19.333 |   27.289 |  0.67 |   2.485 |   2.485 |      0 |
 |         15 |      37745 |   -246.530 |   -307.007 |   14.982 |   26.117 |  0.66 |   3.456 |   3.456 |      0 |
 |         16 |      40441 |   -246.530 |   -307.497 |   18.741 |   24.747 |  0.65 |   2.895 |   2.895 |      0 |
 |         17 |      43137 |   -246.530 |   -319.644 |   24.572 |   23.751 |  0.66 |   3.134 |   3.134 |      0 |
 |         18 |      45833 |   -242.664 |   -307.803 |   21.787 |   23.043 |  0.65 |   0.814 |   0.814 |      0 |
 |         19 |      48529 |   -242.664 |   -316.395 |   27.158 |   22.294 |  0.67 |   3.633 |   3.633 |      0 |
 |         20 |      51225 |   -242.664 |   -307.320 |   20.524 |   21.727 |  0.66 |   3.151 |   3.151 |      0 |
 |         21 |      53921 |   -242.664 |   -300.771 |   15.816 |   21.020 |  0.68 |   3.317 |   3.317 |      0 |
 |         22 |      56617 |   -242.664 |   -309.507 |   19.507 |   20.169 |  0.66 |   0.711 |   0.711 |      0 |
 |         23 |      59313 |   -242.664 |   -315.243 |   19.630 |   19.527 |  0.64 |   3.944 |   3.944 |      0 |
 |         24 |      62009 |   -242.664 |   -301.832 |   19.801 |   18.929 |  0.65 |   3.559 |   3.559 |      0 |
 |         25 |      64705 |   -242.664 |   -310.502 |   20.468 |   18.371 |  0.65 |   3.422 |   3.422 |      0 |
 |         26 |      67401 |   -242.664 |   -305.396 |   17.519 |   17.862 |  0.65 |   1.965 |   1.965 |      0 |
 |         27 |      70097 |   -242.664 |   -296.292 |   19.723 |   17.301 |  0.66 |   1.911 |   1.911 |      0 |
 |         28 |      72793 |   -242.664 |   -311.056 |   23.526 |   16.832 |  0.65 |   1.620 |   1.620 |      0 |
 |         29 |      75489 |   -242.664 |   -303.708 |   21.300 |   16.458 |  0.66 |   2.468 |   2.468 |      0 |
 |         30 |      78185 |   -242.664 |   -304.072 |   13.982 |   16.064 |  0.65 |   0.993 |   0.993 |      0 |
 |         31 |      80881 |   -242.664 |   -303.209 |   21.672 |   15.498 |  0.66 |   3.775 |   3.775 |      0 |
 |         32 |      83577 |   -242.664 |   -305.572 |   19.453 |   15.154 |  0.65 |   1.879 |   1.879 |      0 |
 |         33 |      86273 |   -217.305 |   -281.656 |   18.011 |   14.788 |  0.67 |   3.369 |   3.369 |      0 |
 |         34 |      88969 |   -217.305 |   -297.293 |   18.878 |   14.412 |  0.67 |   3.701 |   3.701 |      0 |
 |         35 |      91665 |   -217.305 |   -297.017 |   21.178 |   14.071 |  0.65 |   2.594 |   2.594 |      0 |
 |         36 |      94361 |   -217.305 |   -295.191 |   15.174 |   13.780 |  0.65 |   2.529 |   2.529 |      0 |
 |         37 |      97057 |   -217.305 |   -293.780 |   18.115 |   13.393 |  0.63 |   2.500 |   2.500 |      0 |
 |         38 |      99753 |   -217.305 |   -291.573 |   19.460 |   13.086 |  0.61 |   1.309 |   1.309 |      0 |
 |         39 |     102449 |   -217.305 |   -299.082 |   20.503 |   12.812 |  0.63 |   3.840 |   3.840 |      0 |
 |         40 |     105145 |   -217.305 |   -301.549 |   19.892 |   12.563 |  0.65 |   1.299 |   1.299 |      0 |
 |         41 |     107841 |   -217.305 |   -291.480 |   20.680 |   12.316 |  0.64 |   0.670 |   0.670 |      0 |
 |         42 |     110537 |   -217.305 |   -296.218 |   20.219 |   12.087 |  0.63 |   1.262 |   1.262 |      0 |
 |         43 |     113233 |   -217.305 |   -298.521 |   17.923 |   11.862 |  0.62 |   1.142 |   1.142 |      0 |
 |         44 |     115929 |   -217.305 |   -293.190 |   25.056 |   11.617 |  0.65 |   3.353 |   3.353 |      0 |
 |         45 |     118625 |   -217.305 |   -291.811 |   16.625 |   11.449 |  0.65 |   1.395 |   1.395 |      0 |
 |         46 |     121321 |   -217.305 |   -293.710 |   17.549 |   11.204 |  0.65 |   3.469 |   3.469 |      0 |
 |         47 |     124017 |   -217.305 |   -291.002 |   15.090 |   10.981 |  0.63 |   3.447 |   3.447 |      0 |
 |         48 |     126713 |   -217.305 |   -289.467 |   20.027 |   10.733 |  0.64 |   0.528 |   0.528 |      0 |
 |         49 |     129409 |   -217.305 |   -301.583 |   20.587 |   10.553 |  0.61 |   3.700 |   3.700 |      0 |
 |         50 |     132105 |   -217.305 |   -294.799 |   23.077 |   10.384 |  0.62 |   2.256 |   2.256 |      0 |
 |         51 |     134801 |   -217.305 |   -282.748 |   16.293 |   10.238 |  0.62 |   0.885 |   0.885 |      0 |
 |         52 |     137497 |   -217.305 |   -286.116 |   17.332 |   10.037 |  0.61 |   2.556 |   2.556 |      0 |
 |         53 |     140193 |   -217.305 |   -299.537 |   19.355 |    9.856 |  0.63 |   1.233 |   1.233 |      0 |
 |         54 |     142889 |   -217.305 |   -298.471 |   14.563 |    9.699 |  0.62 |   0.872 |   0.872 |      0 |
 |         55 |     145585 |   -217.305 |   -295.462 |   19.292 |    9.498 |  0.64 |   2.045 |   2.045 |      0 |
 |         56 |     148281 |   -217.305 |   -291.342 |   15.884 |    9.352 |  0.62 |   3.368 |   3.368 |      0 |
 |         57 |     150977 |   -217.305 |   -293.002 |   20.550 |    9.180 |  0.63 |   3.962 |   3.962 |      0 |
 |         58 |     153673 |   -217.305 |   -286.197 |   19.802 |    9.052 |  0.61 |   3.908 |   3.908 |      0 |
 |         59 |     156369 |   -217.305 |   -283.558 |   22.422 |    8.922 |  0.63 |   2.011 |   2.011 |      0 |
 |         60 |     159065 |   -217.305 |   -287.692 |   20.402 |    8.811 |  0.61 |   0.784 |   0.784 |      0 |
 |         61 |     161761 |   -217.305 |   -280.918 |   14.611 |    8.691 |  0.62 |   0.778 |   0.778 |      0 |
 |         62 |     164457 |   -217.305 |   -287.482 |   20.005 |    8.530 |  0.61 |   3.622 |   3.622 |      0 |
 |         63 |     167153 |   -217.305 |   -278.512 |   19.550 |    8.416 |  0.63 |   2.640 |   2.640 |      0 |
 |         64 |     169849 |   -213.074 |   -285.587 |   20.234 |    8.303 |  0.61 |   3.569 |   3.569 |      0 |
 |         65 |     172545 |   -213.074 |   -288.850 |   18.442 |    8.196 |  0.62 |   1.661 |   1.661 |      0 |
