Software Version            : FRANz 1.2.3
Dataset                     : TESTTREES
Time of Data Analysis       : Fri Mar 10 14:45:42 2023


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV2033         0.3327 %
TV2065         0.1849 %
TV2254         0.0630 %
TV2265         0.0633 %
TV2502         0.3327 %
TV2530         0.3359 %
TV2755         0.0873 %
TV2780         0.1729 %
TV2782         0.0532 %
TV2784         0.1121 %
TV2788         0.2892 %
TV3008         0.1676 %
TV3017         0.0674 %
TV3050         0.5302 %
TV3055         0.4742 %

TOTAL: 15

*** Locus 2 ***

TV2031         0.7329 %
TV2053         0.1321 %
TV2064         0.4189 %
TV2065         0.2906 %
TV3029         0.1035 %
TV3208         0.2770 %
TV3214         0.2773 %
TV3216         0.2655 %
TV3231         0.1320 %

TOTAL: 9

*** Locus 3 ***

TV2041         0.2281 %
TV2078         0.1510 %
TV2090         0.1487 %
TV2288         0.1435 %
TV2501         0.1469 %
TV2773         0.1707 %
TV3001         0.1996 %
TV3011         0.1947 %
TV3017         0.6362 %
TV3019         0.3368 %
TV3020         0.2919 %
TV3021         0.2674 %
TV3056         0.8645 %
TV3204         0.0892 %
TV3211         0.5015 %
TV3213         0.5181 %

TOTAL: 16

*** Locus 4 ***

TV2031         0.5650 %
TV2290         0.3427 %
TV2299         0.3052 %
TV2775         0.0901 %
TV2782         0.4368 %
TV3029         0.0929 %
TV3056         0.8587 %
TV3211         0.1227 %
TV3212         0.2448 %

TOTAL: 9

*** Locus 5 ***

TV2506         0.1608 %
TV2755         0.1172 %
TV2766         0.0558 %
TV3010         0.1557 %
TV3011         0.2666 %
TV3030         0.1355 %
TV3031         0.5300 %
TV3041         0.2324 %
TV3049         0.1246 %
TV3209         0.6903 %
TV3231         0.4570 %

TOTAL: 11

*** Locus 6 ***

TV2004         0.4879 %
TV2005         0.4739 %
TV2269         0.0832 %
TV2270         0.0880 %
TV2527         0.4732 %
TV2780         0.1729 %
TV2788         0.2892 %
TV3204         0.0537 %
TV3211         0.1443 %
TV3212         0.4841 %
TV3213         0.1206 %

TOTAL: 11

*** Locus 7 ***

TV2065         0.0529 %
TV3031         0.2751 %
TV3215         0.4002 %
TV3216         0.5294 %

TOTAL: 4

*** Locus 8 ***

TV2080         0.1976 %
TV2764         0.1709 %
TV2773         0.1675 %
TV3001         0.0619 %
TV3010         0.5456 %
TV3017         0.1591 %
TV3032         0.1818 %
TV3208         0.2770 %
TV3212         0.2393 %
TV3213         0.1206 %
TV3214         0.2773 %
TV3231         0.0634 %

TOTAL: 12

*** Locus 9 ***

TV2003         0.1472 %
TV2026         0.1040 %
TV2053         0.2645 %
TV2055         0.4696 %
TV2062         0.4735 %
TV2078         0.1510 %
TV2080         0.0581 %
TV2090         0.1487 %
TV2285         0.3344 %
TV2302         0.3619 %
TV2504         0.0697 %
TV2774         0.0936 %
TV2788         0.2032 %
TV2810         0.3345 %
TV3011         0.4578 %
TV3033         0.4890 %
TV3034         0.5209 %
TV3231         0.1799 %

TOTAL: 18

*** Locus 10 ***

TV2068         0.0513 %
TV2290         0.0507 %
TV2762         0.1790 %
TV2792         0.0732 %
TV2796         0.1210 %
TV3035         0.1335 %
TV3222         0.4995 %
TV3223         0.5001 %

TOTAL: 8

