Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV1003,10,,,,,0.000000E+00,0.9884,10,0,95,95,,,<
TV2003,10,,,,,0.000000E+00,0.8528,10,0,95,95,,,<
TV2004,10,,,,,0.000000E+00,0.5121,10,0,95,95,,,<
TV2005,10,,,,,0.000000E+00,0.5168,10,0,95,95,,
TV2017,10,,,,,0.000000E+00,0.9872,10,0,95,95,,,<
TV2026,9,,,,,0.000000E+00,0.6766,9,0,93,93,,,<
TV2030,9,,,,,0.000000E+00,1.0000,9,0,93,93,,,<
TV2031,10,TV2775,9,TV2053,10,1.018416E+01,0.5528,10,2,95,95,1.445771E-01,4.565693E+00,<
TV2032,8,,,,,0.000000E+00,1.0000,8,0,93,93,,,<
TV2033,9,,,,,0.000000E+00,0.6673,9,0,93,93,,,<
TV2034,8,,,,,0.000000E+00,1.0000,9,0,91,91,,,<
TV2041,10,,,,,0.000000E+00,0.7718,10,0,95,95,,,<
TV2048,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2053,10,,,,,0.000000E+00,0.6034,10,0,95,95,,,<
TV2055,9,,,,,0.000000E+00,0.5304,10,0,93,93,,,<
TV2060,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2062,10,,,,,0.000000E+00,0.5265,10,0,95,95,,
TV2064,10,,,,,0.000000E+00,0.5811,10,0,95,95,,,<
TV2065,10,,,,,0.000000E+00,0.4794,10,0,95,95,,
TV2066,9,,,,,0.000000E+00,1.0000,9,0,93,93,,,<
TV2068,6,,,,,0.000000E+00,0.9487,6,0,61,61,,,<
TV2069,9,,,,,0.000000E+00,1.0000,9,0,93,93,,,<
TV2071,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2078,10,,,,,0.000000E+00,0.8490,10,0,95,95,,,<
TV2080,9,,,,,0.000000E+00,0.7443,9,0,93,93,,,<
TV2086,7,,,,,0.000000E+00,1.0000,9,0,90,90,,,<
TV2090,10,,,,,0.000000E+00,0.8513,10,0,95,95,,,<
TV2252,10,,,,,0.000000E+00,0.9831,10,0,95,95,,,<
TV2253,9,,,,,0.000000E+00,0.9906,9,0,93,93,,,<
TV2254,9,,,,,0.000000E+00,0.9219,10,0,93,93,,,<
TV2257,10,,,,,0.000000E+00,0.9796,10,0,95,95,,,<
TV2258,9,,,,,0.000000E+00,1.0000,9,0,93,93,,,<
TV2259,8,,,,,0.000000E+00,1.0000,8,0,91,91,,,<
TV2261,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2265,10,,,,,0.000000E+00,0.9367,10,0,95,95,,,<
TV2268,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2269,8,TV2271,8,TV2270,8,1.976303E+01,0.3343,9,0,93,93,8.262242E+00,1.418363E+01
TV2270,8,TV2271,8,TV2269,8,1.976303E+01,0.3217,9,0,93,93,8.262242E+00,1.418363E+01,<
TV2271,8,,,,,0.000000E+00,0.3499,9,0,91,91,,,<
TV2272,9,,,,,0.000000E+00,1.0000,9,0,93,93,,,<
TV2277,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2280,9,,,,,0.000000E+00,0.9999,9,0,94,94,,,<
TV2281,10,,,,,0.000000E+00,0.9157,10,0,95,95,,,<
TV2282,7,,,,,0.000000E+00,0.9519,7,0,88,88,,,<
TV2283,6,,,,,0.000000E+00,0.6027,7,0,70,70,,,<
TV2284,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2285,9,,,,,0.000000E+00,0.5978,10,0,93,93,,
TV2286,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2288,9,,,,,0.000000E+00,0.8442,10,0,93,93,,,<
TV2290,8,,,,,0.000000E+00,0.6417,8,0,92,92,,,<
TV2293,10,,,,,0.000000E+00,0.9653,10,0,95,95,,,<
TV2295,8,,,,,0.000000E+00,1.0000,8,0,93,93,,,<
TV2296,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2297,7,,,,,0.000000E+00,0.9773,8,0,88,88,,,<
TV2298,10,,,,,0.000000E+00,0.9898,10,0,95,95,,,<
TV2299,10,,,,,0.000000E+00,0.6948,10,0,95,95,,,<
TV2302,9,,,,,0.000000E+00,0.6381,9,0,93,93,,,<
TV2304,8,,,,,0.000000E+00,0.9999,8,0,91,91,,,<
TV2501,9,,,,,0.000000E+00,0.8423,9,0,93,93,,,<
TV2502,10,,,,,0.000000E+00,0.6673,10,0,95,95,,,<
TV2503,10,,,,,0.000000E+00,0.9886,10,0,95,95,,,<
TV2504,9,,,,,0.000000E+00,0.8985,9,0,93,93,,,<
TV2506,9,,,,,0.000000E+00,0.8032,10,0,93,93,,,<
TV2511,9,,,,,0.000000E+00,1.0000,9,0,95,95,,,<
TV2514,9,,,,,0.000000E+00,1.0000,9,0,95,95,,,<
TV2515,10,TV2283,6,,,6.140778E+00,0.5348,10,0,95,95,6.140778E+00,,<
TV2517,7,,,,,0.000000E+00,1.0000,7,0,88,88,,,<
TV2518,9,,,,,0.000000E+00,0.9846,10,0,95,95,,,<
TV2519,9,,,,,0.000000E+00,0.9821,10,0,93,93,,,<
TV2520,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2522,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2523,8,,,,,0.000000E+00,0.9845,10,0,93,93,,,<
TV2524,9,TV2525,8,,,1.560333E+01,0.5058,10,0,93,93,1.560333E+01,,<
TV2525,8,,,,,0.000000E+00,0.5070,8,0,91,91,,,<
TV2527,10,,,,,0.000000E+00,0.5268,10,0,95,95,,,<
TV2529,9,,,,,0.000000E+00,0.9801,9,0,93,93,,,<
TV2530,9,,,,,0.000000E+00,0.6569,9,0,93,93,,,<
TV2753,9,,,,,0.000000E+00,0.9538,9,0,93,93,,,<
TV2755,8,,,,,0.000000E+00,0.7971,8,0,91,91,,,<
TV2757,10,,,,,0.000000E+00,0.6513,10,0,95,95,,,<
TV2759,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2762,9,,,,,0.000000E+00,0.8210,9,0,93,93,,,<
TV2764,9,,,,,0.000000E+00,0.7917,10,0,93,93,,,<
TV2766,9,,,,,0.000000E+00,0.5207,9,0,93,93,,
TV2770,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2772,7,,,,,0.000000E+00,0.5438,7,0,88,88,,,<
TV2773,9,,,,,0.000000E+00,0.6617,10,0,93,93,,,<
TV2774,9,,,,,0.000000E+00,0.9064,10,0,93,93,,,<
TV2775,9,,,,,0.000000E+00,0.9099,9,0,95,95,,,<
TV2780,10,,,,,0.000000E+00,0.8271,10,0,95,95,,,<
TV2781,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2782,8,TV2775,9,TV2757,10,1.023991E+01,0.3193,8,1,91,91,2.644750E+00,4.998964E+00,<
TV2784,9,,,,,0.000000E+00,0.8333,10,0,93,93,,,<
TV2788,10,,,,,0.000000E+00,0.6370,10,0,95,95,,,<
TV2789,9,,,,,0.000000E+00,0.9987,9,0,93,93,,,<
TV2790,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2792,10,,,,,0.000000E+00,0.9268,10,0,95,95,,,<
TV2795,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2796,6,,,,,0.000000E+00,0.8625,6,0,61,61,,,<
TV2797,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2798,9,,,,,0.000000E+00,0.9738,10,0,94,94,,,<
TV2804,10,,,,,0.000000E+00,1.0000,10,0,95,95,,,<
TV2808,9,,,,,0.000000E+00,0.9041,9,0,94,94,,,<
TV2810,10,,,,,0.000000E+00,0.6655,10,0,95,95,,,<
