,L109a,L109b,L103a,L103b,L136a,L136b,L482a,L482b,L11a,L11b,L402a,L402b,L33a,L33b
376,304,343,436,441,428,447,162,162,483,483,235,267,539,545
221,268,308,436,448,428,479,162,162,477,537,235,267,545,582
1570,304,268,436,448,428,447,162,162,483,537,267,267,545,582
1572,304,308,436,436,428,479,162,162,483,537,235,267,545,582
1574,304,308,441,448,428,447,162,162,483,537,267,267,545,545
1578,304,308,436,441,428,447,162,162,483,537,235,235,545,582
292,352,352,400,436,447,463,186,164,447,483,235,283,539,558
218,360,360,363,436,479,458,162,162,447,531,231,235,558,586
1590,360,352,436,436,447,458,162,164,447,447,235,235,539,586
1592,352,360,400,436,447,458,162,164,483,531,231,283,558,586
1594,360,352,436,436,447,458,162,186,483,531,231,235,539,586
1596,352,360,400,436,447,479,162,164,447,531,235,235,558,558
